title; url; id; phases_id
The 1st Large-scale Video Object Segmentation Challenge; https://codalab.lisn.upsaclay.fr/competitions/7685; 7685; 12647,12648
The 2nd Large-scale Video Object Segmentation Challenge - Track 2: Video Instance Segmentation; https://codalab.lisn.upsaclay.fr/competitions/7682; 7682; 12641,12642
The 2nd Large-scale Video Object Segmentation Challenge - Track 1: Video Object Segmentation; https://codalab.lisn.upsaclay.fr/competitions/7683; 7683; 12644,12645
The 2nd Large-scale Video Object Segmentation Challenge - Track 1: VOS (migrated server); https://codalab.lisn.upsaclay.fr/competitions/6066; 6066; 9139,9141
The 2nd Large-scale Video Object Segmentation Challenge - Track 2: VIS (migrated server); https://codalab.lisn.upsaclay.fr/competitions/6064; 6064; 9134,9137
COCO Keypoint Challenge; https://codalab.lisn.upsaclay.fr/competitions/7403; 7403; 12008,12009,12010
The 3nd Large-scale Video Object Segmentation Challenge - Track 2: Video Instance Segmentation; https://codalab.lisn.upsaclay.fr/competitions/7680; 7680; 12638,12639
IGLU NeurIPS 2021 Competition: Silent Builder; https://codalab.lisn.upsaclay.fr/competitions/387; 387; 536
Western Power Distribution Data Challenge (Part 1); https://codalab.lisn.upsaclay.fr/competitions/213; 213; 280,281
MISP Challenge 2021(Task2); https://codalab.lisn.upsaclay.fr/competitions/436; 436; 592
ADD 2022 - Audio fake game (FG); https://codalab.lisn.upsaclay.fr/competitions/4106; 4106; 6361,6363
ADD 2022 - Low-quality fake audio detection(LF); https://codalab.lisn.upsaclay.fr/competitions/4110; 4110; 6367
ADD 2022 - Partially fake audio detection(PF); https://codalab.lisn.upsaclay.fr/competitions/4111; 4111; 6368
PreTENS SemEval22 Task3 (SubTask2); https://codalab.lisn.upsaclay.fr/competitions/1290; 1290; 1893
PreTENS SemEval22 Task3 (SubTask1); https://codalab.lisn.upsaclay.fr/competitions/1292; 1292; 1895
MISP Challenge 2021(Task2) Eval Phase; https://codalab.lisn.upsaclay.fr/competitions/850; 850; 1236
MISP Challenge 2021(Task1) Eval Phase; https://codalab.lisn.upsaclay.fr/competitions/887; 887; 1293
MISP Challenge 2021(Task1); https://codalab.lisn.upsaclay.fr/competitions/454; 454; 621
SemEval 2022 - Task 6 (iSarcasmEval) : Intended Sarcasm Detection In English and Arabic; https://codalab.lisn.upsaclay.fr/competitions/1340; 1340; 2033,2030,2034,2032,2031
Соревнование RuNNE (Отладочная фаза); https://codalab.lisn.upsaclay.fr/competitions/1142; 1142; 1658
SI 630 Homework 2 word2vec; https://codalab.lisn.upsaclay.fr/competitions/1659; 1659; 2589,2590,2591
Western Power Distribution Data Challenge (Part 2); https://codalab.lisn.upsaclay.fr/competitions/1324; 1324; 1968,1969
IGLU Silent Builder: Development phase; https://codalab.lisn.upsaclay.fr/competitions/662; 662; 951,952,953
Соревнование RuNNE (Тестовая фаза); https://codalab.lisn.upsaclay.fr/competitions/1863; 1863; 2875
Real-world Reinforcement Learning Challenge; https://codalab.lisn.upsaclay.fr/competitions/823; 823; 1192,1193,1194
TAYSIR - Beta; https://codalab.lisn.upsaclay.fr/competitions/11055; 11055; 17965,17966
Hero, villain and Victim: Dissecting harmful memes for Semantic role labelling of entities; https://codalab.lisn.upsaclay.fr/competitions/906; 906; 1309
PBVS 2022 Thermal Image Super-Resolution Challenge (TISR) - EVALUATION; https://codalab.lisn.upsaclay.fr/competitions/1990; 1990; 3049,3050
UPF Object Tracking Mini-Challenge; https://codalab.lisn.upsaclay.fr/competitions/2341; 2341; 3623,3624
PBVS 2022 Multi-modal Aerial View Object Classification Challenge - Track 2 (SAR+EO); https://codalab.lisn.upsaclay.fr/competitions/1392; 1392; 2104,2105
PBVS 2022 Multi-modal Aerial View Object Classification Challenge - Track 1 (SAR); https://codalab.lisn.upsaclay.fr/competitions/1388; 1388; 2101,2102
