submission_pk,User,Prediction score,Duration
789358,guyon,0.6429 (1),0.00 (1),
837891,saulo_msantos,-1.0000 (2),0.00 (1),
836110,mevrard,-1.0000 (2),0.00 (1),
835997,Thibaut,-1.0000 (2),0.00 (1),
835946,llamalle,-1.0000 (2),0.00 (1),
835929,ihsanullah2131,-1.0000 (2),0.00 (1),
827958,hygieia,-1.0000 (2),0.00 (1),
