submission_pk,User,Score,Computation time
665921,djmax008,31.57 (1),889.79 (11),
661671,hzS,0.94 (2),2.18 (7),
662346,AzureDragon,0.25 (3),197.72 (9),
672017,nasrin136,0.00 (4),1.42 (3),
671253,Antpishi,0.00 (4),1.45 (5),
648151,rgultom,0.00 (4),1.45 (6),
647788,WhyDiDU,0.00 (4),1.43 (4),
672228,thuml_l2rpn,-0.13 (5),1.05 (2),
672963,alexto,-25.08 (6),1113.76 (12),
667593,DragonGlass,-26.14 (7),485.14 (10),
658517,f.gerzer,-38.29 (8),35.82 (8),
661683,restless,-93.35 (9),0.01 (1),
