submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP small,AP medium,AP large,AR max=1,AR max=10,AR max=100,AR small,AR medium,AR large
483774,nora,0.525 (1),0.717 (1),0.578 (1),0.352 (1),0.550 (1),0.642 (2),0.392 (1),0.647 (1),0.689 (1),0.528 (1),0.720 (1),0.821 (2),
486345,qibai,0.519 (2),0.704 (3),0.570 (2),0.342 (2),0.548 (2),0.647 (1),0.391 (2),0.640 (2),0.680 (3),0.498 (4),0.713 (3),0.824 (1),
486312,alifroggy,0.514 (3),0.694 (4),0.563 (4),0.336 (4),0.540 (3),0.639 (3),0.388 (3),0.638 (4),0.679 (4),0.499 (3),0.711 (4),0.818 (5),
476433,zc,0.507 (4),0.708 (2),0.569 (3),0.337 (3),0.534 (4),0.626 (4),0.383 (4),0.639 (3),0.686 (2),0.516 (2),0.718 (2),0.821 (2),
485952,fanglinpu,0.491 (5),0.693 (5),0.542 (6),0.304 (9),0.527 (5),0.617 (6),0.374 (6),0.612 (8),0.654 (8),0.456 (13),0.693 (9),0.804 (8),
475929,BoyuanSun,0.488 (6),0.691 (6),0.543 (5),0.316 (7),0.520 (6),0.613 (7),0.374 (6),0.622 (5),0.670 (5),0.478 (7),0.708 (5),0.819 (4),
485095,kth0307,0.486 (7),0.669 (10),0.530 (8),0.319 (6),0.513 (8),0.595 (10),0.366 (8),0.614 (7),0.670 (5),0.484 (5),0.703 (7),0.811 (7),
476966,sirius.xie,0.485 (8),0.691 (6),0.535 (7),0.323 (5),0.516 (7),0.598 (8),0.375 (5),0.612 (8),0.649 (9),0.479 (6),0.682 (11),0.779 (15),
488012,liyl,0.474 (9),0.664 (11),0.517 (10),0.273 (18),0.512 (9),0.620 (5),0.366 (8),0.597 (12),0.635 (15),0.414 (19),0.684 (10),0.820 (3),
488023,bearcats,0.473 (10),0.659 (14),0.512 (12),0.280 (15),0.497 (12),0.598 (8),0.372 (7),0.605 (9),0.640 (13),0.446 (16),0.678 (13),0.792 (11),
479137,jhy1994,0.471 (11),0.677 (8),0.528 (9),0.306 (8),0.498 (11),0.592 (11),0.363 (10),0.615 (6),0.663 (6),0.467 (8),0.707 (6),0.814 (6),
486419,tich,0.470 (12),0.658 (15),0.510 (13),0.279 (16),0.494 (14),0.597 (9),0.372 (7),0.604 (10),0.639 (14),0.447 (15),0.677 (14),0.793 (10),
474939,innovisgroup,0.468 (13),0.680 (7),0.514 (11),0.294 (10),0.505 (10),0.576 (13),0.364 (9),0.581 (14),0.611 (18),0.428 (18),0.648 (18),0.745 (21),
487509,ZhuXiongwei24,0.467 (14),0.674 (9),0.517 (10),0.282 (14),0.496 (13),0.585 (12),0.360 (11),0.568 (17),0.594 (21),0.394 (21),0.627 (21),0.743 (23),
462597,shbae,0.449 (15),0.655 (17),0.496 (17),0.275 (17),0.470 (17),0.565 (14),0.355 (12),0.596 (13),0.640 (13),0.450 (14),0.674 (15),0.785 (13),
433448,tshi,0.448 (16),0.662 (12),0.506 (14),0.286 (12),0.471 (16),0.555 (15),0.350 (13),0.598 (11),0.646 (10),0.466 (9),0.679 (12),0.782 (14),
433116,iFighting,0.446 (17),0.659 (14),0.503 (15),0.284 (13),0.468 (18),0.551 (18),0.349 (14),0.596 (13),0.644 (12),0.463 (10),0.677 (14),0.782 (14),
470139,wangdong,0.444 (18),0.657 (16),0.500 (16),0.284 (13),0.466 (19),0.552 (17),0.349 (14),0.596 (13),0.645 (11),0.459 (12),0.679 (12),0.787 (12),
480233,nemonameless,0.442 (19),0.646 (18),0.493 (18),0.292 (11),0.479 (15),0.551 (18),0.344 (16),0.571 (16),0.622 (16),0.431 (17),0.658 (17),0.769 (16),
446125,bigash,0.431 (20),0.661 (13),0.473 (19),0.258 (19),0.459 (20),0.553 (16),0.344 (16),0.525 (24),0.546 (26),0.355 (25),0.582 (28),0.687 (31),
423276,LDL,0.428 (21),0.646 (18),0.469 (20),0.258 (19),0.453 (22),0.553 (16),0.347 (15),0.573 (15),0.620 (17),0.447 (15),0.659 (16),0.758 (18),
442254,zwcai,0.428 (21),0.621 (21),0.463 (21),0.237 (21),0.455 (21),0.552 (17),0.350 (13),0.555 (20),0.587 (22),0.378 (22),0.628 (20),0.749 (20),
420211,kongtao,0.422 (22),0.635 (19),0.462 (22),0.235 (23),0.453 (22),0.555 (15),0.339 (18),0.557 (19),0.601 (19),0.396 (20),0.648 (18),0.768 (17),
438197,xwwusmu,0.418 (23),0.629 (20),0.457 (23),0.256 (20),0.451 (23),0.541 (20),0.340 (17),0.563 (18),0.655 (7),0.462 (11),0.702 (8),0.798 (9),
463764,sfzhang,0.418 (23),0.629 (20),0.457 (23),0.256 (20),0.451 (23),0.541 (20),0.340 (17),0.563 (18),0.655 (7),0.462 (11),0.702 (8),0.798 (9),
462882,RoE,0.416 (24),0.619 (22),0.462 (22),0.232 (24),0.445 (24),0.532 (23),0.332 (19),0.550 (21),0.595 (20),0.373 (23),0.631 (19),0.758 (18),
479592,qijiezhao,0.411 (25),0.596 (29),0.452 (24),0.223 (27),0.466 (19),0.539 (21),0.332 (19),0.534 (23),0.563 (24),0.336 (28),0.616 (22),0.726 (25),
485259,RSLAB,0.409 (26),0.607 (24),0.441 (25),0.236 (22),0.439 (25),0.515 (30),0.340 (17),0.540 (22),0.572 (23),0.370 (24),0.612 (23),0.726 (25),
482441,zybsu27f22,0.397 (27),0.604 (26),0.436 (26),0.231 (25),0.415 (29),0.517 (28),0.315 (24),0.485 (31),0.505 (34),0.314 (31),0.526 (41),0.659 (42),
420195,kaisarulius,0.387 (28),0.593 (31),0.425 (27),0.179 (35),0.418 (27),0.546 (19),0.317 (22),0.517 (25),0.554 (25),0.310 (33),0.606 (24),0.751 (19),
418076,jonbakerfish,0.384 (29),0.598 (28),0.416 (29),0.185 (32),0.416 (28),0.524 (25),0.312 (27),0.506 (27),0.542 (27),0.300 (35),0.589 (26),0.737 (24),
440102,neopenx,0.383 (30),0.611 (23),0.415 (30),0.209 (28),0.416 (28),0.491 (33),0.314 (25),0.496 (28),0.521 (32),0.313 (32),0.560 (33),0.666 (39),
486029,coordinate,0.382 (31),0.606 (25),0.418 (28),0.204 (29),0.412 (32),0.491 (33),0.321 (20),0.494 (29),0.515 (33),0.322 (29),0.556 (34),0.659 (42),
476988,samster25,0.376 (32),0.594 (30),0.406 (32),0.198 (30),0.413 (31),0.488 (34),0.308 (30),0.469 (37),0.486 (40),0.273 (39),0.530 (39),0.641 (46),
480948,qiankunt,0.374 (33),0.577 (33),0.411 (31),0.155 (43),0.414 (30),0.541 (20),0.310 (28),0.496 (28),0.523 (31),0.259 (41),0.600 (25),0.737 (24),
417959,JIYAYUN,0.372 (34),0.576 (34),0.402 (33),0.166 (39),0.410 (33),0.534 (22),0.313 (26),0.480 (33),0.500 (37),0.251 (43),0.549 (36),0.707 (28),
473244,tangshitao,0.369 (35),0.561 (36),0.396 (34),0.169 (37),0.414 (30),0.516 (29),0.318 (21),0.489 (30),0.515 (33),0.262 (40),0.584 (27),0.716 (26),
413355,zhongqiaoyong,0.367 (36),0.603 (27),0.386 (36),0.167 (38),0.422 (26),0.527 (24),0.309 (29),0.472 (36),0.490 (39),0.256 (42),0.565 (32),0.682 (33),
486669,pxf,0.366 (37),0.545 (42),0.393 (35),0.155 (43),0.389 (35),0.521 (26),0.316 (23),0.508 (26),0.535 (29),0.286 (36),0.572 (30),0.744 (22),
486702,yanzhiwei,0.358 (38),0.575 (35),0.385 (37),0.227 (26),0.390 (34),0.436 (49),0.297 (32),0.484 (32),0.539 (28),0.352 (26),0.570 (31),0.667 (38),
469615,wpldk,0.352 (39),0.541 (43),0.378 (39),0.184 (33),0.379 (36),0.456 (42),0.309 (29),0.496 (28),0.539 (28),0.347 (27),0.580 (29),0.679 (34),
437559,gaochen315,0.350 (40),0.550 (40),0.383 (38),0.143 (48),0.377 (37),0.520 (27),0.310 (28),0.463 (38),0.477 (41),0.238 (47),0.531 (38),0.679 (34),
411144,kshmelkov,0.342 (41),0.555 (38),0.358 (40),0.152 (44),0.350 (44),0.509 (32),0.292 (35),0.448 (40),0.476 (42),0.251 (43),0.495 (47),0.665 (40),
430614,Shivang,0.335 (42),0.552 (39),0.352 (42),0.157 (42),0.365 (38),0.462 (41),0.294 (33),0.461 (39),0.492 (38),0.262 (40),0.535 (37),0.677 (36),
381717,chengyangfu,0.332 (43),0.533 (44),0.352 (42),0.130 (54),0.354 (42),0.511 (31),0.289 (36),0.435 (45),0.462 (48),0.218 (51),0.491 (49),0.664 (41),
484329,zijianzhang,0.330 (44),0.561 (36),0.349 (43),0.159 (40),0.355 (41),0.432 (51),0.280 (41),0.438 (44),0.464 (47),0.279 (37),0.484 (51),0.591 (56),
446944,pjreddie,0.330 (44),0.579 (32),0.344 (47),0.183 (34),0.354 (42),0.419 (54),0.287 (38),0.445 (42),0.469 (45),0.305 (34),0.493 (48),0.588 (57),
467633,chengzi,0.330 (44),0.579 (32),0.344 (47),0.183 (34),0.354 (42),0.419 (54),0.287 (38),0.445 (42),0.469 (45),0.305 (34),0.493 (48),0.588 (57),
443941,zhishuaizhang,0.328 (45),0.532 (45),0.346 (45),0.139 (50),0.360 (39),0.476 (36),0.284 (40),0.435 (45),0.462 (48),0.216 (52),0.507 (44),0.646 (45),
434912,xupei,0.327 (46),0.528 (48),0.345 (46),0.151 (45),0.346 (45),0.488 (34),0.285 (39),0.435 (45),0.462 (48),0.226 (49),0.488 (50),0.654 (43),
432224,Micheal,0.325 (47),0.511 (52),0.357 (41),0.126 (56),0.341 (47),0.480 (35),0.293 (34),0.473 (35),0.502 (36),0.246 (44),0.555 (35),0.712 (27),
449710,jiangliux,0.324 (48),0.529 (47),0.346 (45),0.134 (52),0.358 (40),0.470 (38),0.299 (31),0.442 (43),0.453 (49),0.218 (51),0.506 (45),0.649 (44),
487348,clguo.ai,0.322 (49),0.520 (50),0.347 (44),0.192 (31),0.341 (47),0.397 (60),0.294 (33),0.478 (34),0.503 (35),0.321 (30),0.535 (37),0.629 (47),
420877,insikk,0.319 (50),0.520 (50),0.338 (48),0.128 (55),0.350 (44),0.467 (39),0.288 (37),0.446 (41),0.467 (46),0.227 (48),0.507 (44),0.674 (37),
422713,lzx1413,0.318 (51),0.528 (48),0.335 (49),0.142 (49),0.351 (43),0.450 (44),0.276 (42),0.424 (49),0.450 (51),0.223 (50),0.499 (46),0.620 (49),
480830,cxy,0.314 (52),0.556 (37),0.323 (53),0.171 (36),0.343 (46),0.398 (59),0.273 (45),0.425 (48),0.448 (52),0.278 (38),0.476 (53),0.562 (62),
430530,huangshihua,0.313 (53),0.531 (46),0.325 (52),0.144 (47),0.334 (50),0.455 (43),0.274 (44),0.423 (50),0.452 (50),0.242 (45),0.477 (52),0.621 (48),
485644,abc286d,0.310 (54),0.546 (41),0.318 (55),0.135 (51),0.329 (52),0.439 (47),0.274 (44),0.411 (53),0.422 (54),0.218 (51),0.449 (58),0.588 (57),
422777,yhkim8412,0.310 (54),0.525 (49),0.323 (53),0.145 (46),0.324 (54),0.444 (45),0.273 (45),0.420 (51),0.448 (52),0.241 (46),0.469 (54),0.613 (51),
464145,YoungSong,0.310 (54),0.519 (51),0.330 (51),0.158 (41),0.339 (48),0.395 (61),0.275 (43),0.404 (54),0.414 (57),0.218 (51),0.451 (57),0.542 (64),
463509,omegada,0.305 (55),0.507 (54),0.323 (53),0.102 (61),0.338 (49),0.470 (38),0.272 (46),0.427 (47),0.467 (46),0.196 (53),0.528 (40),0.678 (35),
462140,shuaihang,0.302 (56),0.509 (53),0.320 (54),0.113 (58),0.330 (51),0.442 (46),0.276 (42),0.404 (54),0.415 (56),0.179 (58),0.467 (55),0.615 (50),
396316,kquach,0.300 (57),0.498 (57),0.320 (54),0.115 (57),0.329 (52),0.436 (49),0.270 (48),0.388 (58),0.397 (60),0.161 (60),0.444 (59),0.586 (58),
