submission_pk,User,b'Diff_Sim_AUC',b'Better_Worse_CC'
385216,xuemei,0.8673 (1),0.9782 (1),
383626,zhang_yujie,0.8613 (2),0.9720 (2),
384602,orangeee,0.8557 (3),0.9606 (3),
385328,rWatanabe,0.8480 (4),0.9534 (5),
378550,siater,0.8472 (5),0.9575 (4),
345522,concombr,0.7173 (6),0.8674 (6),
380273,omessai,0.6721 (7),0.6477 (7),
