submission_pk,User,b'abs_rel',b'sq_rel',b'rmse',b'rmse_log',b'a1',b'a2',b'a3'
443030,jerry_zhu,0.121 (1),0.919 (9),4.981 (10),0.200 (1),0.861 (1),0.953 (2),0.980 (1),
448345,newPeople,0.123 (2),0.932 (10),4.873 (1),0.202 (3),0.861 (1),0.954 (1),0.979 (2),
452723,LitterPaper0,0.123 (2),0.885 (5),4.983 (11),0.201 (2),0.848 (7),0.950 (5),0.979 (2),
452789,zs_dlut,0.124 (3),0.899 (7),4.938 (7),0.203 (4),0.852 (4),0.950 (5),0.979 (2),
452782,tianfeng,0.124 (3),0.845 (1),4.883 (2),0.202 (3),0.847 (8),0.950 (5),0.980 (1),
452785,dlut_zs,0.124 (3),0.877 (4),4.916 (4),0.202 (3),0.850 (6),0.951 (4),0.980 (1),
452775,zs20,0.124 (3),0.892 (6),4.928 (6),0.203 (4),0.851 (5),0.951 (4),0.980 (1),
452753,cjl20,0.124 (3),0.871 (3),4.904 (3),0.202 (3),0.851 (5),0.951 (4),0.980 (1),
452792,Chern,0.125 (4),0.865 (2),4.924 (5),0.203 (4),0.846 (9),0.950 (5),0.980 (1),
452768,seesee,0.126 (5),0.990 (15),4.979 (9),0.206 (6),0.857 (3),0.952 (3),0.978 (3),
452649,namename,0.126 (5),0.994 (16),4.950 (8),0.204 (5),0.860 (2),0.953 (2),0.979 (2),
452738,USTC-IAT-United,0.129 (6),0.973 (13),5.100 (13),0.208 (8),0.846 (9),0.948 (6),0.978 (3),
452625,Tutu,0.131 (7),0.972 (12),5.085 (12),0.207 (7),0.835 (11),0.946 (7),0.979 (2),
452028,Cai,0.133 (8),1.017 (17),5.282 (16),0.214 (9),0.837 (10),0.945 (8),0.976 (5),
451916,Suzally,0.133 (8),1.023 (18),5.285 (17),0.215 (10),0.835 (11),0.943 (9),0.976 (5),
451265,waterch,0.137 (9),0.904 (8),5.276 (15),0.214 (9),0.813 (14),0.941 (10),0.979 (2),
446302,hust99,0.139 (10),1.057 (19),5.302 (18),0.220 (11),0.826 (12),0.939 (11),0.975 (6),
452256,panzer,0.141 (11),0.953 (11),5.429 (19),0.221 (12),0.804 (16),0.936 (12),0.976 (5),
427234,lyle,0.142 (12),0.981 (14),5.590 (20),0.225 (13),0.806 (15),0.936 (12),0.974 (7),
409786,SHSCUMT,0.142 (12),1.064 (20),5.155 (14),0.215 (10),0.821 (13),0.943 (9),0.977 (4),
407696,hanchenggong,0.142 (12),1.064 (20),5.155 (14),0.215 (10),0.821 (13),0.943 (9),0.977 (4),
423133,king,0.160 (13),1.230 (21),5.927 (21),0.244 (14),0.769 (17),0.921 (13),0.966 (8),
446947,xujianyao,0.172 (14),1.340 (22),6.177 (22),0.258 (15),0.743 (18),0.910 (14),0.963 (9),
380564,Wenhui_Wei,0.172 (14),1.340 (22),6.177 (22),0.258 (15),0.743 (18),0.910 (14),0.963 (9),
449224,jerryxu,0.192 (15),1.594 (23),6.506 (23),0.279 (16),0.709 (19),0.895 (15),0.956 (10),
283440,LingdongKong,0.221 (16),1.988 (24),7.117 (24),0.312 (17),0.654 (20),0.859 (16),0.938 (11),
404517,thu-lab,0.247 (17),2.354 (25),7.292 (25),0.333 (18),0.622 (21),0.827 (17),0.921 (12),
325171,haohuang,0.281 (18),2.733 (26),8.282 (26),0.366 (19),0.538 (22),0.809 (18),0.915 (13),
404449,namenamelab,0.341 (19),3.558 (27),9.221 (27),0.449 (20),0.474 (23),0.722 (19),0.858 (14),
297703,zhangsongchun,0.376 (20),4.461 (31),9.901 (29),0.466 (21),0.430 (24),0.709 (20),0.853 (15),
406831,lsk512,0.381 (21),4.497 (32),9.727 (28),0.471 (22),0.429 (25),0.697 (22),0.847 (17),
381396,czy1102,0.387 (22),4.400 (30),10.204 (30),0.480 (23),0.406 (28),0.684 (24),0.841 (18),
313808,xixiha,0.392 (23),4.099 (28),10.919 (34),0.522 (26),0.367 (30),0.644 (26),0.819 (21),
319898,ML,0.394 (24),5.176 (34),10.344 (31),0.471 (22),0.416 (26),0.699 (21),0.852 (16),
317536,ge_kedi,0.406 (25),5.472 (35),10.566 (32),0.481 (24),0.415 (27),0.690 (23),0.840 (19),
441849,ChunleiWu,0.414 (26),4.253 (29),11.434 (35),0.573 (27),0.334 (31),0.607 (27),0.802 (22),
404095,xiaohua,0.431 (27),5.890 (36),10.676 (33),0.503 (25),0.397 (29),0.669 (25),0.823 (20),
444229,pakapro,0.438 (28),4.604 (33),11.782 (36),0.583 (28),0.308 (32),0.570 (28),0.771 (23),
