submission_pk,User,b'AP',b'AP_50',b'AP_75'
193097,kbyran,0.3280 (1),0.4925 (1),0.3453 (1),
192850,linfeng,0.2534 (2),0.3903 (2),0.2714 (2),
193618,USTC-IAT-United,0.2512 (3),0.3793 (3),0.2664 (3),
192922,mong,0.2378 (4),0.3624 (4),0.2540 (4),
192797,Wizard001,0.2050 (5),0.3182 (5),0.2156 (5),
193219,zhangxgu,0.1346 (6),0.2150 (6),0.1406 (6),
191797,ZendelO,0.0661 (7),0.1155 (7),0.0669 (7),
