submission_pk,User,b'score',b'IoU Static',b'IoU Motion'
461570,www,0.50 (1),0.99 (2),0.49 (1),
461654,USTCxNetEaseFuxi,0.47 (2),0.99 (16),0.45 (2),
461143,heboyong,0.43 (3),0.99 (3),0.42 (3),
461087,bailanteam,0.41 (4),0.99 (8),0.40 (4),
461350,cccc,0.41 (5),0.99 (14),0.40 (5),
460879,bbbb,0.40 (6),0.99 (5),0.39 (6),
461390,ffff,0.40 (7),0.99 (9),0.39 (7),
461291,GenglunZhang,0.40 (8),0.99 (10),0.39 (8),
461419,Wizard001,0.40 (9),0.99 (15),0.39 (9),
461337,u7355608,0.39 (10),0.99 (6),0.38 (10),
461381,eeee,0.39 (11),0.99 (12),0.38 (11),
460979,tanutarou,0.39 (12),0.99 (4),0.38 (12),
461365,Heart,0.39 (13),0.98 (17),0.37 (13),
461476,lnyangTeam,0.37 (14),0.99 (11),0.35 (14),
461489,sssteam,0.36 (15),0.99 (13),0.35 (15),
460928,lnyang,0.35 (16),0.99 (7),0.34 (16),
461637,Yuyu,0.33 (17),0.98 (18),0.32 (17),
460897,pakapro,0.02 (18),1.02 (1),0.00 (18),
