submission_pk,User,b'ChrF1',b'Style transfer accuracy',b'Join'
14611,Shibalda,0.104854 (1),0.889863 (6),0.093305 (1),
12906,AlexeyOlkhovikov_,0.093465 (2),0.905393 (5),0.084622 (2),
14245,pkrajput7,0.080892 (3),0.874152 (7),0.070712 (3),
14247,Andrei.Erofeev,0.070158 (4),0.961974 (2),0.067490 (4),
11449,lilaspourpre,0.069171 (5),0.859080 (8),0.059423 (6),
17103,zlatamaria,0.063987 (6),0.987714 (1),0.063201 (5),
14557,albertSayapin,0.061140 (7),0.640856 (10),0.039182 (10),
12464,petr_sokerin,0.060508 (8),0.931528 (4),0.056365 (7),
14290,SergeyPetrakov,0.059930 (9),0.658005 (9),0.039434 (9),
13948,NikitaBaramiia,0.048263 (10),0.946150 (3),0.045664 (8),
