submission_pk,User,b'Total Score',b'Accuracy (top-1)[%]',b'AUROC',b'TNR at tpr95',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
352157,fcai21,0.65 (1),63.20 (1),0.71 (4),0.03 (14),0.00 (2),0.00 (2),
352153,Running,0.64 (2),59.20 (3),0.80 (2),0.35 (2),-1.00 (3),-1.00 (3),
351484,qingqing,0.61 (3),53.15 (4),0.85 (1),0.50 (1),-1.00 (3),-1.00 (3),
350914,Raghunath19,0.61 (4),59.85 (2),0.64 (6),0.05 (6),0.00 (2),0.00 (2),
346274,papu,0.45 (5),41.40 (6),0.56 (11),0.02 (20),0.00 (2),0.00 (2),
347318,yangyang6,0.45 (6),45.24 (5),0.44 (26),0.03 (13),0.00 (2),0.00 (2),
350947,USTC-IAT-United,0.44 (7),34.55 (19),0.71 (3),0.12 (3),-1.00 (3),-1.00 (3),
348944,VL,0.42 (8),39.30 (7),0.52 (18),0.06 (4),0.00 (2),0.00 (2),
349989,hsansui,0.42 (9),34.55 (19),0.66 (5),0.12 (3),-1.00 (3),-1.00 (3),
350183,jsyoon,0.41 (10),34.75 (18),0.60 (9),0.02 (22),0.00 (2),0.00 (2),
349854,asd,0.41 (11),34.10 (23),0.61 (8),0.04 (8),-1.00 (3),-1.00 (3),
349821,wujiekd,0.40 (12),32.95 (28),0.62 (7),0.05 (7),0.00 (2),0.00 (2),
345569,cuisong,0.40 (13),35.10 (15),0.55 (13),0.01 (27),1.00 (1),0.00 (2),
351130,rezafuad,0.39 (14),35.20 (14),0.52 (16),0.04 (9),0.00 (2),1.00 (1),
351975,fenfenfen98,0.39 (15),35.65 (10),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
352003,CCCathy,0.39 (16),35.50 (11),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
351961,titin,0.39 (17),35.45 (12),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
351907,jimu,0.39 (18),35.30 (13),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
345238,yangyang18,0.39 (19),34.80 (17),0.52 (17),0.01 (25),0.00 (2),0.00 (2),
352127,cathy122,0.39 (20),35.10 (15),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
351460,kkkkkkkk,0.39 (20),35.10 (15),0.51 (20),0.03 (16),0.00 (2),0.00 (2),
343493,txccc,0.39 (21),34.20 (22),0.53 (15),0.04 (10),0.00 (2),0.00 (2),
343528,luni_chen,0.39 (22),33.10 (27),0.56 (12),0.02 (21),0.00 (2),0.00 (2),
349249,kancharlavamshi,0.39 (23),32.05 (29),0.58 (10),0.03 (11),-1.00 (3),-1.00 (3),
349935,sunny088,0.38 (24),34.85 (16),0.49 (21),0.02 (23),0.00 (2),0.00 (2),
349879,papei,0.38 (25),34.75 (18),0.49 (21),0.02 (23),0.00 (2),0.00 (2),
349866,nemoe,0.38 (25),34.75 (18),0.49 (21),0.02 (23),0.00 (2),0.00 (2),
349857,sunny066,0.38 (25),34.75 (18),0.49 (21),0.02 (23),0.00 (2),0.00 (2),
346460,luckykk,0.38 (26),34.35 (21),0.49 (21),0.02 (23),0.00 (2),0.00 (2),
350890,wwwwww,0.38 (27),33.75 (25),0.51 (19),0.03 (12),0.00 (2),0.00 (2),
343923,JingwenH,0.38 (28),36.65 (9),0.40 (29),0.03 (18),0.00 (2),0.00 (2),
348526,cjf8899,0.37 (29),33.85 (24),0.48 (22),0.00 (31),0.00 (2),0.00 (2),
350424,minuenergy,0.37 (30),34.40 (20),0.44 (25),0.01 (29),0.00 (2),0.00 (2),
351069,NPUyuan,0.37 (31),32.95 (28),0.48 (23),0.01 (28),-1.00 (3),-1.00 (3),
349170,brandy99,0.36 (32),30.55 (30),0.54 (14),0.06 (5),-1.00 (3),-1.00 (3),
346202,linkaihao,0.36 (33),33.15 (26),0.45 (24),0.01 (24),0.00 (2),0.00 (2),
346873,Mysterious,0.35 (34),37.00 (8),0.30 (32),0.00 (32),-1.00 (3),-1.00 (3),
349953,www,0.34 (35),34.80 (17),0.31 (31),0.03 (17),-1.00 (3),-1.00 (3),
343413,lllok,0.33 (36),30.50 (31),0.41 (28),0.03 (15),0.00 (2),0.00 (2),
345225,WangYuhao,0.23 (37),30.05 (32),0.00 (34),0.00 (32),0.00 (2),0.00 (2),
343030,mavoc_pbvs_admin,0.18 (38),9.70 (34),0.43 (27),0.02 (19),-1.00 (3),-1.00 (3),
346373,hinmer,0.17 (39),10.00 (33),0.37 (30),0.01 (26),-1.00 (3),-1.00 (3),
348003,Yang001,0.01 (40),0.00 (35),0.03 (33),0.00 (30),-1.00 (3),-1.00 (3),
