submission_pk,User,b'Score 1',b'Score 2',b'Score 3',b'Score 4'
153763,gberger,0.3702 (1),0.5273 (1),- (-),- (-),
137836,alvarory,0.2938 (2),0.3962 (2),- (-),- (-),
