submission_pk,User,b'Overall',b'J',b'F'
471157,dian,0.763 (1),0.740 (1),0.785 (1),
462085,GTR.,0.730 (2),0.707 (2),0.753 (2),
491871,Robertluo,0.724 (3),0.701 (4),0.747 (3),
115898,JerryX,0.722 (4),0.703 (3),0.742 (5),
120160,noff,0.719 (5),0.694 (5),0.745 (4),
489848,Eason_888,0.712 (6),0.688 (6),0.736 (6),
352965,MasterBin-IIAU,0.701 (7),0.676 (7),0.727 (7),
484586,ds-hohhot,0.689 (8),0.665 (8),0.714 (8),
137632,Bo____,0.687 (9),0.665 (9),0.710 (9),
126391,jiliushi,0.686 (10),0.665 (10),0.707 (10),
489532,Starburst,0.682 (11),0.661 (11),0.703 (11),
105571,xxh,0.675 (12),0.656 (12),0.693 (12),
493643,tomorrow,0.672 (13),0.653 (13),0.691 (14),
472116,yydstxtxtyyds,0.671 (14),0.650 (14),0.693 (13),
488852,ycxiao,0.660 (15),0.640 (15),0.681 (15),
493660,MahouShoujo,0.660 (16),0.640 (16),0.681 (16),
427103,yh1567,0.655 (17),0.635 (17),0.674 (17),
443509,Yong,0.650 (18),0.633 (18),0.667 (21),
443398,wanghc,0.649 (19),0.628 (20),0.670 (18),
364520,ylf,0.649 (19),0.628 (20),0.670 (18),
103710,PZH,0.649 (19),0.628 (20),0.670 (18),
424154,txt2,0.647 (20),0.627 (21),0.668 (20),
442281,Man,0.646 (21),0.629 (19),0.663 (24),
492678,JJ_Chen,0.645 (22),0.623 (24),0.668 (19),
159839,alexxnguyen,0.644 (23),0.624 (22),0.665 (22),
487295,DeshuiMiao,0.644 (24),0.623 (23),0.665 (23),
367660,nero,0.642 (25),0.622 (25),0.662 (25),
455113,zjhcwhk,0.640 (26),0.622 (26),0.658 (26),
221307,levon.khachatryan,0.637 (27),0.617 (28),0.657 (27),
415197,Salted_Fish1,0.635 (28),0.619 (27),0.650 (28),
106656,southflame,0.623 (29),0.607 (29),0.640 (31),
493733,lab206,0.622 (30),0.601 (32),0.643 (29),
354626,wudongming,0.622 (31),0.603 (31),0.640 (30),
297011,zszh,0.622 (32),0.605 (30),0.639 (32),
352195,berry_,0.613 (33),0.597 (33),0.629 (34),
382075,daniel-0301,0.612 (34),0.593 (34),0.630 (33),
380811,daniel34344,0.609 (35),0.592 (35),0.627 (35),
119162,PENG,0.603 (36),0.585 (38),0.621 (36),
379233,xubing111,0.602 (37),0.585 (37),0.619 (37),
159278,lsteven,0.601 (38),0.586 (36),0.616 (39),
379224,ZY202203550,0.601 (39),0.583 (40),0.618 (38),
492256,beter,0.597 (40),0.581 (41),0.613 (40),
432929,hoax,0.597 (41),0.584 (39),0.610 (43),
362154,wjn922,0.596 (42),0.581 (42),0.612 (41),
379216,xubing,0.594 (43),0.580 (43),0.609 (44),
379223,xubing222,0.594 (44),0.577 (44),0.611 (42),
160255,JayY,0.589 (45),0.574 (46),0.605 (47),
132914,y722,0.588 (46),0.570 (47),0.605 (46),
492374,biubiubiubiu,0.585 (47),0.574 (45),0.596 (49),
405579,itruonghai,0.580 (48),0.563 (49),0.597 (48),
