submission_pk,User,b'Balanced accuracy'
394769,joec7030,0.76 (1),
393198,solitd,0.76 (1),
391626,rumman,0.76 (1),
407235,GloireLINVANI,0.76 (2),
391583,lashum,0.73 (3),
393047,woodsa4,0.73 (4),
395891,nawara,0.73 (5),
392863,mint,0.73 (5),
387568,smithc22,0.73 (5),
383544,durre,0.73 (5),
392166,parks14,0.73 (6),
393006,langec2,0.73 (7),
393628,cheny63,0.73 (8),
392805,dwalz,0.73 (9),
394062,peperj,0.72 (10),
393622,gurril,0.71 (11),
394186,yeh3,0.62 (12),
393379,grayk6,0.61 (13),
393085,RobinZhang,0.61 (13),
387427,batemi,0.60 (14),
387019,ghongt,0.60 (14),
387006,lant,0.60 (14),
385922,YIXUAN,0.60 (14),
382642,hub7,0.60 (14),
382829,praneshj,0.52 (15),
382653,liq13,0.52 (15),
382651,liq_13,0.52 (15),
389933,wangy70,0.52 (16),
392882,kellyc8,0.51 (17),
392854,lahira,0.51 (18),
385347,zhangw21,0.50 (19),
394090,lenahc,0.50 (20),
393164,parada2,0.50 (20),
393054,zhangc23,0.50 (20),
390101,liuz28,0.50 (20),
393978,fungb2,0.50 (21),
384512,olyerickson,0.49 (22),
392891,huangy29,0.38 (23),
404968,vanesm,-1.00 (24),
403752,jonese6,-1.00 (24),
