submission_pk,User,b'Final Score',b'Accuracy (top-1)[%]',b'AUROC',b'TNR at tpr95',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
350594,overfittinghhh,0.84 (1),89.60 (1),0.68 (19),0.02 (4),0.00 (2),0.00 (2),
350964,txccc,0.84 (2),88.77 (2),0.68 (20),0.03 (7),0.00 (2),0.00 (2),
352129,doggie,0.74 (3),69.80 (4),0.85 (6),0.56 (36),-1.00 (3),-1.00 (3),
351938,Raghunath19,0.71 (4),71.40 (3),0.70 (17),0.05 (14),0.00 (2),0.00 (2),
352168,fcai21,0.71 (5),68.35 (7),0.79 (8),0.10 (28),0.00 (2),0.00 (2),
352167,sunny088,0.71 (6),68.80 (6),0.76 (9),0.07 (27),0.00 (2),0.00 (2),
351783,mcc,0.70 (7),68.90 (5),0.74 (11),0.10 (29),0.00 (2),0.00 (2),
352139,cathy122,0.70 (8),68.10 (8),0.76 (10),0.12 (33),0.00 (2),0.00 (2),
352107,CCCathy,0.69 (9),67.85 (9),0.74 (12),0.06 (23),0.00 (2),0.00 (2),
351506,wwwwww,0.67 (10),66.50 (10),0.70 (18),0.03 (9),0.00 (2),0.00 (2),
351582,sunny066,0.67 (11),66.40 (11),0.70 (16),0.04 (10),0.00 (2),0.00 (2),
348024,luckykk,0.59 (12),46.50 (14),0.97 (1),0.90 (41),0.00 (2),0.00 (2),
350097,yangyang18,0.55 (13),41.85 (18),0.94 (2),0.83 (40),0.00 (2),0.00 (2),
349986,titin,0.55 (14),41.65 (19),0.94 (2),0.83 (40),0.00 (2),0.00 (2),
350147,kkkkkkkk,0.54 (15),42.10 (17),0.92 (3),0.77 (39),0.00 (2),0.00 (2),
350171,nemoe,0.53 (16),42.10 (17),0.87 (4),0.67 (38),0.00 (2),0.00 (2),
350165,chaichai,0.53 (16),42.10 (17),0.87 (4),0.67 (38),0.00 (2),0.00 (2),
346940,xn1234,0.52 (17),49.75 (12),0.57 (28),0.06 (25),-1.00 (3),-1.00 (3),
345540,wwwow,0.51 (18),41.15 (20),0.80 (7),0.00 (1),-1.00 (3),-1.00 (3),
349393,papu,0.50 (19),38.50 (25),0.86 (5),0.58 (37),0.00 (2),0.00 (2),
349369,papei,0.50 (19),38.50 (25),0.86 (5),0.58 (37),0.00 (2),0.00 (2),
349351,cc199,0.50 (20),38.10 (26),0.86 (5),0.58 (37),0.00 (2),0.00 (2),
343895,yangyang6,0.48 (21),45.06 (15),0.55 (31),0.06 (20),0.00 (2),0.00 (2),
348091,SC,0.46 (22),42.55 (16),0.55 (29),0.06 (22),1.00 (1),0.00 (2),
350317,qingqing,0.46 (23),39.80 (24),0.63 (24),0.10 (30),1.00 (1),0.00 (2),
343753,yvshanXie,0.45 (24),35.75 (28),0.71 (14),0.06 (18),1.00 (1),0.00 (2),
351993,xjtu132,0.44 (25),40.15 (23),0.55 (30),0.06 (21),1.00 (1),0.00 (2),
350949,USTC-IAT-United,0.44 (26),34.55 (33),0.71 (13),0.12 (34),-1.00 (3),-1.00 (3),
350070,hsansui,0.43 (27),34.35 (35),0.70 (15),0.13 (35),-1.00 (3),-1.00 (3),
345528,cuisong,0.43 (28),40.25 (22),0.52 (34),0.05 (13),1.00 (1),0.00 (2),
346148,Running,0.43 (29),36.15 (27),0.64 (22),0.05 (15),-1.00 (3),-1.00 (3),
345897,Mysterious,0.42 (30),35.65 (29),0.61 (26),0.02 (5),-1.00 (3),-1.00 (3),
348307,BrettPopowycz,0.42 (31),35.00 (31),0.61 (25),0.11 (32),0.00 (2),0.00 (2),
345749,Levi.jpg,0.41 (32),33.10 (38),0.66 (21),0.10 (31),-1.00 (3),-1.00 (3),
349251,kancharlavamshi,0.41 (33),34.65 (32),0.60 (27),0.06 (26),-1.00 (3),-1.00 (3),
343913,JingwenH,0.40 (34),40.85 (21),0.39 (41),0.02 (3),0.00 (2),0.00 (2),
347834,ionut.motoi,0.39 (35),35.10 (30),0.51 (36),0.04 (11),0.00 (2),0.00 (2),
348248,youbingbing,0.39 (36),34.15 (37),0.54 (33),0.04 (12),-1.00 (3),-1.00 (3),
343757,VL,0.39 (37),34.45 (34),0.52 (35),0.06 (19),0.00 (2),0.00 (2),
350816,jimu,0.38 (38),34.30 (36),0.51 (37),0.03 (8),0.00 (2),0.00 (2),
350738,fenfenfen98,0.38 (39),34.15 (37),0.51 (37),0.03 (8),0.00 (2),0.00 (2),
347737,xd132132,0.38 (40),33.05 (39),0.54 (32),0.06 (24),-1.00 (3),-1.00 (3),
347937,NMGDX,0.37 (41),47.85 (13),0.03 (42),0.00 (2),-1.00 (3),-1.00 (3),
350103,asd,0.36 (42),26.85 (42),0.64 (23),0.05 (16),-1.00 (3),-1.00 (3),
348890,www,0.36 (43),32.90 (40),0.44 (38),0.05 (17),0.00 (2),1.00 (1),
346427,hinmer,0.33 (44),30.00 (41),0.41 (40),0.00 (1),-1.00 (3),-1.00 (3),
350009,wujiekd,0.18 (45),9.80 (43),0.43 (39),0.02 (6),0.00 (2),0.00 (2),
