submission_pk,User,b'mIoU Score',b'mBJ Score'
170007,slow,68.768 (1),47.747 (1),
201539,HRHLALALA,63.158 (2),26.265 (2),
300002,liululu,52.316 (3),18.041 (3),
146429,pemo,30.873 (4),5.726 (4),
