submission_pk,User,"b'F1(P,N)-macro'","b'F1(P,N,0)-macro'"
346897,mtsai,70.94 (1),77.63 (1),
343979,cookies,69.89 (2),76.74 (2),
345311,lsanochkin,68.11 (3),75.36 (3),
346962,Dmitry315,62.91 (4),71.28 (4),
341125,ryzhtus,62.34 (5),70.57 (6),
344671,mitrokosta,62.15 (6),70.70 (5),
342555,sag_m,61.35 (7),69.73 (7),
341597,shershulya,60.07 (8),69.26 (8),
343058,s231644,59.99 (9),69.10 (9),
341668,antongolubev,57.73 (10),68.21 (10),
342887,ild,57.46 (11),67.52 (11),
345825,GreatDispersion,57.00 (12),65.38 (12),
342807,abc111,55.25 (13),65.00 (13),
340374,baseline_model,44.32 (14),57.89 (14),
346978,postoevie,41.09 (15),48.28 (16),
344501,angyling,35.37 (16),43.76 (17),
343062,AlexSMSU,31.94 (17),49.25 (15),
