submission_pk,User,b'Average CER',b'Bribri CER',b'Guarani CER',b'Kotiria CER',"b""Wa'ikhana CER""",b'Quechua CER'
202521,monirome,0.2685 (1),0.3470 (1),0.1559 (1),0.3659 (1),0.3523 (2),0.1214 (2),
202470,alumae,0.2772 (2),0.3701 (2),0.1804 (2),0.3742 (2),0.3437 (1),0.1176 (1),
202651,hadarishav,0.3298 (3),0.4477 (3),0.2094 (3),0.4264 (3),0.3780 (3),0.1874 (3),
198929,pywixarika,0.3935 (4),0.5114 (4),0.3057 (4),0.4500 (4),0.4394 (4),0.2612 (4),
202269,spolezhaev,0.8322 (5),0.9344 (5),0.9625 (5),0.9074 (5),0.5640 (5),0.7926 (5),
