submission_pk,User,b'Detection Score'
159394,USTC-IAT-United,0.954289 (1),
154915,JiahaoChang,0.953897 (2),
159570,heboyong,0.938368 (3),
156607,brave,0.928430 (4),
157487,xiaobiaodu,0.919252 (5),
158200,Sunhao.Chu,0.914351 (6),
158859,jzsherlock,0.878145 (7),
159288,StarVision.Cheng,0.857095 (8),
158050,yljin,0.834864 (9),
150737,fenfenfenfan,0.000335 (10),
