submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
478248,woojin94,15.85 (30),0.55 (30),-1.00 (1),-1.00 (3),-1.00 (1),
372310,Rebecca,23.18 (4),0.75 (5),-1.00 (1),-1.00 (3),-1.00 (1),
371439,daylight,23.04 (5),0.75 (6),-1.00 (1),-1.00 (3),-1.00 (1),
371325,codalab123,20.48 (19),0.71 (14),-1.00 (1),-1.00 (3),-1.00 (1),
371190,xyz123,23.94 (2),0.76 (2),-1.00 (1),-1.00 (3),-1.00 (1),
371182,shrutiphutke,21.61 (10),0.71 (9),-1.00 (1),-1.00 (3),-1.00 (1),
369482,cuishuhao,23.60 (3),0.76 (4),-1.00 (1),-1.00 (3),-1.00 (1),
369023,leaves,22.52 (7),0.74 (7),-1.00 (1),-1.00 (3),-1.00 (1),
359549,WangtaekOh,22.09 (8),0.71 (11),-1.00 (1),-1.00 (3),-1.00 (1),
355516,Tony,15.85 (30),0.55 (30),-1.00 (1),-1.00 (3),-1.00 (1),
351012,some,21.82 (9),0.71 (10),-1.00 (1),-1.00 (3),-1.00 (1),
341199,CD_luo,20.02 (21),0.65 (21),-1.00 (1),-1.00 (3),-1.00 (1),
317292,fvasluianu,15.85 (30),0.55 (30),-1.00 (1),-1.00 (3),-1.00 (1),
372902,amaguri,18.69 (29),0.60 (26),1.01 (6),0.00 (2),0.00 (2),
372649,Una,7.35 (31),0.36 (31),4.01 (13),0.00 (2),0.00 (2),
372553,duchongyang,20.33 (20),0.67 (20),-1.00 (1),0.00 (2),0.00 (2),
372421,BowenZhao,21.57 (11),0.69 (16),1.00 (5),0.00 (2),0.00 (2),
371873,Krocy,20.02 (22),0.70 (15),0.25 (4),0.00 (2),0.00 (2),
371511,jane_j,21.41 (14),0.71 (13),1.00 (5),0.00 (2),0.00 (2),
370921,ZebinHe,19.21 (23),0.64 (22),3.36 (11),0.00 (2),0.00 (2),
370756,tiger,21.50 (13),0.72 (8),1.60 (7),0.00 (2),0.00 (2),
369287,HuanZheng,24.04 (1),0.78 (1),2.23 (9),0.00 (2),0.00 (2),
364324,nann,21.56 (12),0.69 (17),1.00 (5),0.00 (2),0.00 (2),
364087,SabariNathan,18.87 (27),0.61 (24),12.43 (15),1.00 (1),0.00 (2),
363144,Concentration,20.53 (17),0.68 (19),3.03 (10),0.00 (2),0.00 (2),
362810,Concentrate-Silence,20.53 (16),0.68 (18),3.03 (10),0.00 (2),0.00 (2),
362751,nbyqh,18.90 (26),0.60 (27),1.00 (5),0.00 (2),0.00 (2),
359376,priyakansal,21.26 (15),0.71 (12),0.00 (2),0.00 (2),0.00 (2),
345684,ir-sde,20.51 (18),0.62 (23),43.00 (16),0.00 (2),0.00 (2),
340614,DylanPeter,18.90 (25),0.60 (28),0.01 (3),0.00 (2),0.00 (2),
337039,Yuki-11,18.69 (29),0.60 (26),1.69 (8),0.00 (2),0.00 (2),
371508,zwl,7.00 (32),0.35 (32),3.40 (12),0.00 (2),1.00 (3),
364512,mrchang87,22.93 (6),0.76 (3),10.43 (14),0.00 (2),1.00 (3),
344473,jiangchengzhi,18.85 (28),0.58 (29),10.43 (14),1.00 (1),1.00 (3),
340825,morven,19.07 (24),0.61 (25),10.43 (14),1.00 (1),1.00 (3),
