submission_pk,User,b'< Rank >',b'MCC',b'F1 BAD',b'F1 OK',b'Disk Footprint (Bytes)',b'Model Params'
166536,IST-Unbabel,2.40 (2),0.4274 (1),0.4675 (1),0.9583 (3),2260743915.0 (2),565139485.0 (5),
167950,JeonghyeokPark,2.00 (1),0.4207 (2),0.3811 (4),0.9663 (1),2241394304.0 (1),560713447.0 (2),
168336,gengxiang,3.00 (3),0.3898 (3),0.4396 (2),0.9490 (4),3264730349.0 (5),560145557.0 (1),
167884,Abulice,3.80 (4),0.3425 (4),0.3964 (3),0.9448 (5),2260780823.0 (3),565137436.0 (4),
166657,OrganizersBaselines,3.80 (4),0.2027 (5),0.1440 (5),0.9603 (2),2280011066.0 (4),564527011.0 (3),
