submission_pk,User,b'AP',b'AP OKS=.50',b'AP OKS=.75',b'AP large',b'AP medium',b'AR',b'AR OKS=.50',b'AR OKS=.75',b'AR large',b'AR medium'
456013,rawalkhirodkar,0.79 (1),0.94 (1),0.86 (1),0.84 (1),0.76 (1),0.83 (1),0.97 (1),0.90 (1),0.88 (1),0.80 (1),
237278,wangjie,0.78 (2),0.94 (2),0.86 (2),0.82 (7),0.75 (2),0.83 (2),0.96 (2),0.90 (2),0.88 (2),0.79 (2),
234475,Ninja,0.77 (3),0.93 (3),0.85 (3),0.83 (2),0.73 (4),0.82 (3),0.96 (2),0.89 (3),0.88 (3),0.78 (3),
202538,jason0425,0.77 (3),0.93 (4),0.84 (4),0.83 (3),0.74 (3),0.82 (3),0.96 (3),0.88 (4),0.88 (4),0.78 (3),
390282,AnxQ,0.77 (4),0.93 (4),0.84 (5),0.83 (4),0.73 (5),0.82 (4),0.96 (3),0.88 (5),0.87 (5),0.78 (4),
363583,Tau-J,0.76 (5),0.93 (5),0.84 (6),0.82 (5),0.73 (6),0.81 (5),0.96 (4),0.88 (6),0.87 (5),0.77 (5),
196101,sieann,0.76 (6),0.93 (5),0.84 (7),0.82 (6),0.72 (7),0.81 (6),0.96 (4),0.88 (7),0.87 (6),0.77 (6),
453010,starhiking,0.76 (7),0.93 (5),0.83 (8),0.82 (7),0.72 (8),0.81 (7),0.96 (5),0.88 (8),0.87 (7),0.77 (7),
339957,jungaogao,0.76 (8),0.93 (5),0.83 (10),0.82 (8),0.72 (9),0.81 (7),0.96 (5),0.87 (9),0.87 (8),0.77 (7),
358285,hrli311,0.76 (9),0.92 (6),0.83 (9),0.82 (10),0.72 (8),0.81 (8),0.96 (4),0.88 (8),0.86 (9),0.77 (8),
360430,CBT,0.75 (10),0.93 (5),0.83 (9),0.81 (11),0.72 (10),0.80 (9),0.96 (5),0.87 (9),0.86 (9),0.76 (9),
258497,LYWH,0.75 (11),0.92 (8),0.82 (11),0.82 (9),0.71 (12),0.80 (10),0.95 (6),0.87 (10),0.86 (9),0.76 (10),
381979,ssquirrel,0.75 (12),0.92 (9),0.82 (13),0.81 (12),0.71 (11),0.80 (11),0.95 (6),0.86 (12),0.86 (10),0.76 (11),
182316,wings,0.75 (13),0.92 (10),0.82 (14),0.81 (13),0.71 (14),0.80 (12),0.95 (6),0.86 (13),0.86 (10),0.76 (13),
355181,FeiWu234,0.74 (14),0.92 (7),0.82 (12),0.80 (14),0.71 (13),0.80 (12),0.96 (4),0.87 (11),0.85 (11),0.76 (12),
382221,zhongxinyan,0.74 (15),0.92 (11),0.82 (16),0.80 (15),0.71 (15),0.79 (13),0.95 (7),0.86 (14),0.85 (12),0.75 (14),
398004,llllrj,0.74 (16),0.92 (13),0.82 (15),0.80 (17),0.71 (15),0.79 (15),0.95 (10),0.85 (16),0.84 (14),0.75 (15),
318881,LIQI1,0.74 (17),0.91 (14),0.81 (17),0.80 (16),0.70 (16),0.79 (14),0.95 (9),0.86 (15),0.84 (13),0.75 (16),
475943,yuanxinyang,0.73 (18),0.91 (14),0.80 (19),0.79 (18),0.70 (17),0.78 (16),0.95 (11),0.85 (19),0.84 (15),0.74 (17),
455082,xtian,0.72 (19),0.91 (15),0.80 (20),0.79 (19),0.69 (19),0.78 (17),0.94 (13),0.85 (20),0.84 (15),0.74 (19),
270075,sherry,0.72 (19),0.92 (12),0.81 (18),0.78 (20),0.69 (18),0.78 (18),0.95 (8),0.85 (17),0.83 (19),0.74 (18),
257956,jcling666,0.72 (20),0.91 (15),0.79 (21),0.78 (20),0.68 (20),0.77 (19),0.93 (18),0.83 (22),0.84 (16),0.72 (21),
379286,sunxy_success,0.70 (21),0.91 (15),0.79 (22),0.75 (25),0.68 (22),0.76 (20),0.95 (12),0.84 (21),0.81 (24),0.73 (20),
350922,JonghyunKim,0.70 (22),0.91 (16),0.78 (23),0.75 (26),0.68 (21),0.78 (18),0.95 (11),0.85 (18),0.84 (18),0.74 (19),
391991,gaokun952701,0.70 (23),0.91 (17),0.77 (24),0.76 (24),0.66 (23),0.75 (21),0.94 (14),0.82 (23),0.81 (23),0.71 (22),
243121,TaoWang,0.69 (24),0.88 (23),0.76 (26),0.77 (22),0.63 (26),0.73 (25),0.91 (21),0.80 (28),0.82 (20),0.67 (27),
373200,Xuejinyu,0.69 (25),0.90 (18),0.77 (25),0.75 (27),0.66 (24),0.74 (22),0.94 (15),0.82 (24),0.80 (25),0.70 (23),
407945,dyh_bupt,0.69 (26),0.90 (19),0.76 (27),0.78 (21),0.63 (27),0.74 (23),0.94 (16),0.80 (25),0.84 (17),0.68 (25),
404622,ChenzhiLong,0.68 (27),0.89 (21),0.75 (28),0.77 (23),0.62 (28),0.73 (27),0.92 (20),0.79 (29),0.82 (21),0.66 (28),
269553,qiaotouluori,0.68 (28),0.89 (21),0.75 (29),0.74 (28),0.65 (25),0.74 (24),0.93 (19),0.80 (27),0.80 (27),0.69 (24),
321783,huaze555,0.67 (29),0.90 (20),0.75 (30),0.74 (29),0.62 (29),0.73 (26),0.93 (17),0.80 (26),0.81 (22),0.67 (26),
181876,zywang,0.65 (30),0.87 (24),0.72 (31),0.72 (30),0.60 (31),0.70 (29),0.89 (23),0.76 (31),0.79 (29),0.64 (30),
305924,renxiaoyao,0.65 (31),0.86 (25),0.71 (32),0.74 (28),0.58 (32),0.69 (30),0.88 (24),0.75 (32),0.79 (28),0.61 (33),
242396,wushang,0.63 (32),0.88 (22),0.70 (33),0.72 (31),0.57 (33),0.71 (28),0.93 (19),0.77 (30),0.80 (26),0.64 (29),
450529,jgrlk8436,0.62 (33),0.83 (27),0.68 (34),0.65 (33),0.60 (30),0.68 (31),0.88 (25),0.73 (34),0.75 (31),0.63 (31),
489814,seungjun1520,0.58 (34),0.77 (28),0.64 (35),0.63 (34),0.55 (34),0.67 (32),0.87 (26),0.73 (33),0.74 (32),0.62 (32),
466802,dairao,0.56 (35),0.84 (26),0.61 (36),0.70 (32),0.47 (35),0.64 (33),0.90 (22),0.69 (35),0.77 (30),0.54 (34),
344689,jimmiefan,0.42 (36),0.73 (29),0.43 (37),0.50 (35),0.37 (36),0.49 (34),0.77 (27),0.51 (36),0.57 (33),0.42 (35),
313597,caoguoyi,0.00 (37),0.00 (30),0.00 (38),0.00 (36),0.00 (37),0.00 (35),0.01 (28),0.00 (37),0.01 (34),0.00 (36),
