submission_pk,User,b'mAP weighted',b'mAP',b'Jan',b'Mar',b'Apr',b'May',b'Jun',b'Jul',b'Aug',b'Sep'
143901,GroundTruth,0.279846 (1),0.2832 (1),0.3048 (2),0.3021 (1),0.3073 (1),0.2674 (1),0.2748 (1),0.2306 (1),0.2829 (1),0.2955 (1),
142413,heboyong,0.240078 (2),0.2434 (2),0.3063 (1),0.2952 (2),0.2905 (2),0.2295 (4),0.2318 (5),0.1901 (4),0.2615 (2),0.1419 (9),
141724,BDD,0.238662 (3),0.2417 (3),0.2611 (6),0.2775 (4),0.2744 (4),0.2383 (3),0.2371 (3),0.1961 (3),0.2365 (4),0.2122 (4),
141447,Charles,0.238271 (4),0.2404 (4),0.2676 (3),0.2848 (3),0.2794 (3),0.2388 (2),0.2416 (2),0.2035 (2),0.2446 (3),0.1630 (7),
141868,relax,0.227928 (5),0.2311 (5),0.2510 (9),0.2642 (7),0.2556 (7),0.2138 (7),0.2336 (4),0.1856 (5),0.2214 (8),0.2235 (3),
141872,newboy,0.218455 (6),0.2215 (6),0.2435 (10),0.2540 (8),0.2430 (9),0.2113 (8),0.2257 (8),0.1750 (7),0.2118 (9),0.2076 (5),
141690,Liyuanhao,0.216428 (7),0.2186 (7),0.2572 (7),0.2762 (5),0.2610 (5),0.2225 (6),0.2312 (6),0.1730 (8),0.2247 (7),0.1034 (14),
141789,xa_ever,0.212674 (8),0.2140 (8),0.2675 (4),0.2701 (6),0.2571 (6),0.2228 (5),0.2289 (7),0.1811 (6),0.2254 (6),0.0593 (18),
144123,yfwa_vision,0.198887 (9),0.2012 (9),0.2510 (8),0.2522 (9),0.2417 (10),0.1978 (9),0.1920 (10),0.1699 (10),0.2098 (10),0.0949 (16),
143525,PingPingPangPangBangBangBang,0.198774 (10),0.1989 (11),0.1814 (18),0.1823 (17),0.2013 (12),0.1804 (11),0.2065 (9),0.1609 (11),0.2361 (5),0.2421 (2),
143221,duongtran,0.197806 (11),0.2006 (10),0.2635 (5),0.2518 (10),0.2443 (8),0.1858 (10),0.1881 (11),0.1717 (9),0.2037 (11),0.0956 (15),
144570,DAEHANKIM,0.172543 (12),0.1779 (12),0.2428 (11),0.2394 (11),0.2112 (11),0.1361 (12),0.1550 (12),0.1269 (12),0.1623 (12),0.1497 (8),
144531,MsLalpls,0.163778 (13),0.1692 (13),0.2334 (12),0.2331 (12),0.1996 (13),0.1312 (14),0.1488 (13),0.1154 (13),0.1536 (13),0.1382 (10),
144569,InstinctFencer,0.158230 (14),0.1643 (14),0.2198 (15),0.2193 (14),0.1876 (15),0.1255 (16),0.1373 (14),0.1042 (16),0.1421 (14),0.1785 (6),
143992,PeterKim,0.152493 (15),0.1580 (15),0.2232 (14),0.2173 (15),0.1842 (16),0.1264 (15),0.1351 (15),0.1037 (17),0.1399 (16),0.1340 (11),
144545,ZJKO,0.151934 (16),0.1574 (16),0.2255 (13),0.2231 (13),0.1896 (14),0.1132 (18),0.1342 (16),0.1078 (14),0.1404 (15),0.1256 (13),
143946,Norsk,0.139396 (17),0.1445 (17),0.2014 (16),0.1965 (16),0.1687 (17),0.1171 (17),0.1247 (18),0.0917 (18),0.1273 (18),0.1285 (12),
144253,hsansui,0.129140 (18),0.1312 (18),0.1926 (17),0.1787 (18),0.1567 (18),0.1316 (13),0.1294 (17),0.1061 (15),0.1316 (17),0.0229 (20),
142134,juliojj,0.087097 (19),0.0911 (19),0.1552 (19),0.1432 (19),0.1150 (19),0.0669 (20),0.0563 (21),0.0641 (19),0.0835 (19),0.0442 (19),
143923,u7355608,0.083259 (20),0.0856 (20),0.1292 (21),0.1271 (20),0.1044 (20),0.0854 (19),0.0798 (19),0.0608 (20),0.0785 (20),0.0192 (21),
143735,lwxnba,0.066052 (21),0.0685 (21),0.1077 (22),0.0904 (22),0.0713 (21),0.0540 (21),0.0564 (20),0.0455 (21),0.0623 (21),0.0603 (17),
141165,dingdingguai,0.060615 (22),0.0635 (22),0.1314 (20),0.1004 (21),0.0670 (22),0.0469 (22),0.0426 (22),0.0421 (22),0.0595 (22),0.0184 (22),
143493,Anderssj,0.000000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),0.0000 (23),
