submission_pk,User,b'F1',b'ROUGE-2'
307643,ShubhamKumarNigam,0.5417 (1),0.0473 (1),
310787,bluesky,0.4797 (2),0.0470 (2),
309271,nicolay-r,0.4789 (3),0.0465 (3),
310076,xixilu556,0.4781 (4),0.0411 (8),
309879,DamoAI,0.4781 (4),0.0410 (9),
294637,uottawa.NLP23,0.4781 (4),0.0409 (10),
310339,irene.benedetto,0.4600 (5),0.0454 (5),
309205,Pinal-Patel,0.4583 (6),0.0461 (4),
307465,AntContentTech,0.4525 (7),0.0445 (6),
303098,irit_iris,0.4000 (8),0.0428 (7),
309531,maodou,0.3600 (9),0.0406 (11),
