submission_pk,User,b'EvaluationScore'
274305,burimd,85.25 (1),
254574,mglasder,84.67 (2),
242435,cyrknech,84.58 (3),
269034,iliadisa,83.50 (4),
260260,matvogel,83.00 (5),
241155,ecorey,82.50 (6),
248171,Yoyoyo,80.17 (7),
262492,robertca,80.08 (8),
259167,flaviosc,80.00 (9),
275294,BjfpgZOC,79.58 (10),
248184,Francesco_Casucci,79.33 (11),
240060,mskogli,78.75 (12),
243044,graldij,78.42 (13),
303493,Dyslit,78.17 (14),
263079,gustafzach,77.92 (15),
289244,yolo,77.67 (16),
254941,traceelement,77.58 (17),
241998,Batu_Arda_Duzgun,77.25 (18),
245014,Liuxin_ETH,77.17 (19),
287545,wueestry,77.00 (20),
242256,passutte,77.00 (20),
238184,ecetin,77.00 (20),
261981,asperj,76.92 (21),
297921,cehmke,76.08 (22),
259286,KondiK,76.00 (23),
243098,ashenoi,76.00 (23),
256217,luiten,75.92 (24),
269248,sarp,75.75 (25),
259199,jorge.gacitua,75.67 (26),
267311,EricUBast,75.58 (27),
245789,stewidmer,75.42 (28),
256277,boeschpa,75.25 (29),
238086,aubingazhibo,75.25 (29),
249031,tobiaste,75.17 (30),
294417,yeehan,75.08 (31),
277592,Max313,75.08 (31),
243615,pijaime,75.08 (31),
250033,isalee,75.00 (32),
240999,Bibean,75.00 (32),
277353,sastocke,74.83 (33),
257170,gcuccorese,74.83 (33),
251514,pinkpanther,74.83 (33),
242165,knillm,74.83 (33),
274226,spaetee,74.75 (34),
254693,liblaser,74.75 (34),
269664,zuedavid,74.67 (35),
276953,nargran,74.58 (36),
255348,Tous_gigi_tous_rourou,74.58 (36),
249982,sblum,74.58 (36),
246459,azuerrer,74.58 (36),
241091,Yuanxin_Pan,74.50 (37),
304230,mhalter,74.42 (38),
265172,cici,74.42 (38),
247964,koehleto,74.42 (38),
261992,vbrevig,74.33 (39),
301307,zhatang,74.25 (40),
252121,martinjo,74.08 (41),
251457,kmosle,74.08 (41),
241120,wensizhang,74.08 (41),
276535,diegomachain,74.00 (42),
263288,awaernsaeter,74.00 (42),
255336,oliverbr,74.00 (42),
249158,tonglu,74.00 (42),
295175,Vito,73.92 (43),
261844,cdeceuninck,73.83 (44),
249988,esfalameh01,73.83 (44),
240786,dstrassmann,73.83 (44),
261817,epalma,73.75 (45),
239750,matkurt,73.75 (45),
259347,Anunay,73.67 (46),
275880,merklec,73.58 (47),
265113,tstreule,73.58 (47),
261896,markuenz,73.58 (47),
248927,ssteam,73.58 (47),
303733,zjehan,73.50 (48),
276032,Princess,73.50 (48),
256340,xumeng,73.50 (48),
251948,lian,73.50 (48),
243101,bagbelese,73.50 (48),
242240,rjelitto,73.50 (48),
269168,KVr,73.42 (49),
268367,doerk,73.42 (49),
275205,nchromec,73.25 (50),
250437,Anthony_Eid,73.25 (50),
249145,pafloria,73.25 (50),
275933,simmlert,73.17 (51),
244574,natanael_hirzel,73.17 (51),
242715,Gulliver,73.17 (51),
239798,ancina,73.17 (51),
258234,droman,73.08 (52),
278386,bergar,73.00 (53),
276854,javier,72.92 (54),
270035,foezdemir,72.92 (54),
255653,lijzou,72.92 (54),
277219,kehpan,72.83 (55),
261840,omr100,72.83 (55),
246452,jmatt,72.83 (55),
245926,greinema,72.83 (55),
303737,domimueller,72.75 (56),
277518,dennisv,72.75 (56),
259966,mdecke,72.75 (56),
240605,dmuehlema,72.75 (56),
302265,annakiep,72.67 (57),
291783,rsanness,72.67 (57),
275057,bardhd,72.58 (58),
252152,nicof,72.58 (58),
245913,appiusa,72.58 (58),
262003,bmaechle,72.50 (59),
249245,carafael,72.50 (59),
244582,Koala99,72.50 (59),
276488,bokmang,72.42 (60),
266848,hlothar,72.42 (60),
258999,sgeisser,72.42 (60),
246138,wenkelj,72.42 (60),
246020,rcasamitjana,72.42 (60),
245127,twilhelm,72.42 (60),
239804,lpet,72.33 (61),
270351,Laura,72.25 (62),
261623,med,72.25 (62),
259042,scalinda,72.25 (62),
274423,DogEgg,72.17 (63),
274381,mpreisig,72.17 (63),
266793,etueschenboe,72.17 (63),
265686,_esplanade,72.17 (63),
261025,OskarPilkington,72.17 (63),
243735,user_123,72.17 (63),
272595,fe,72.08 (64),
260934,lspecht,72.08 (64),
260900,carolnf,72.08 (64),
250588,jaristegui,72.08 (64),
259780,meryan,72.00 (65),
239097,yurohu,72.00 (65),
260107,ekracik,71.92 (66),
250530,mi_pana_disecado,71.92 (66),
248993,bierian,71.92 (66),
242330,tshpakov,71.92 (66),
275257,cmerk,71.83 (67),
274417,tkuester,71.83 (67),
253163,heerdam,71.83 (67),
240852,severinf,71.83 (67),
257439,csvision,71.75 (68),
255946,gloorli,71.75 (68),
245741,anheinle,71.75 (68),
262635,andilic,71.75 (68),
275695,Thiemo,71.67 (69),
260759,schreibfheler,71.67 (69),
259193,mgroepl,71.67 (69),
257139,Arno,71.67 (69),
255971,totoro,71.67 (69),
250995,theinle,71.67 (69),
240527,jinluo,71.67 (69),
238389,varulchelvan,71.67 (69),
304564,Aron,71.58 (70),
297014,kumarab,71.58 (70),
256228,Tobias,71.58 (70),
302225,alyelhakie,71.50 (71),
263312,wuxiny,71.50 (71),
258918,jbuerge,71.50 (71),
258961,sa_li,71.50 (71),
249064,rosieber,71.50 (71),
301965,fabmuel,71.42 (72),
300545,vwolfer,71.42 (72),
257936,henzerf,71.42 (72),
248639,Yulomja,71.42 (72),
265623,dellalia,71.33 (73),
260885,Felicien,71.33 (73),
258017,Marsmaennchen,71.33 (73),
256878,taskins,71.33 (73),
243234,dawalter,71.33 (73),
240693,Chuan,71.33 (73),
298168,cl,71.25 (74),
282633,marsimon,71.25 (74),
266474,timgros,71.25 (74),
255107,twdent,71.25 (74),
239368,roberson,71.25 (74),
303765,rmahjoub,71.17 (75),
300971,zherud,71.17 (75),
284981,mflong,71.17 (75),
265290,lukashol,71.17 (75),
262575,changyan,71.17 (75),
294263,debaumann,71.00 (76),
275973,Blossomer,71.00 (76),
253537,jgaber,71.00 (76),
239105,cdurrer_,71.00 (76),
255285,Ssirya,70.92 (77),
247816,mcummins,70.92 (77),
238449,aletop,70.92 (77),
287315,appppppp,70.83 (78),
261839,blclo,70.83 (78),
241979,liangx,70.83 (78),
300369,scanico,70.75 (79),
292939,ruchen,70.75 (79),
292196,baltani,70.75 (79),
287371,rancoder,70.75 (79),
287025,Ishita_Shreevastava,70.75 (79),
274231,lehnpa,70.75 (79),
266748,Yuan_XU,70.75 (79),
302027,dennisag,70.67 (80),
285302,taners,70.67 (80),
269755,efunke,70.58 (81),
269285,AngQiXuan,70.58 (81),
250602,mandala,70.50 (82),
250529,rorobe,70.50 (82),
239652,aliyucekaleli,70.50 (82),
277247,wangjo,70.42 (83),
272859,smontorfani,70.42 (83),
255280,Gronaldo,70.42 (83),
240632,likexi,70.42 (83),
291355,jfricke,70.33 (84),
260108,pp,70.33 (84),
258149,ssssshuhu,70.33 (84),
247603,jullrich,70.33 (84),
247420,simschla,70.33 (84),
239354,robycalzone,70.33 (84),
277640,ocernin,70.25 (85),
272599,ullip,70.25 (85),
261853,lukaschu,70.25 (85),
274988,jaegeseb,70.17 (86),
260048,zaBuka,70.17 (86),
259292,graberp,70.08 (87),
247819,IACV_BASELINE,70.00 (88),
240878,ara,64.92 (89),
