submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10'
479361,KainingYing,0.663 (1),0.882 (2),0.728 (1),0.575 (1),0.710 (1),
487245,jinyan,0.648 (2),0.883 (1),0.724 (2),0.565 (2),0.701 (2),
348442,daniel34344,0.639 (3),0.880 (3),0.701 (3),0.551 (5),0.685 (5),
397710,zhenghaoChenney,0.634 (4),0.867 (5),0.697 (5),0.560 (3),0.693 (3),
490933,SamsungMSL,0.632 (5),0.868 (4),0.700 (4),0.558 (4),0.686 (4),
481626,fanghaook,0.616 (6),0.857 (6),0.657 (6),0.550 (6),0.659 (6),
333119,nero,0.585 (7),0.834 (7),0.628 (7),0.529 (7),0.657 (7),
445999,YINGKAINING_1,0.551 (8),0.782 (9),0.591 (8),0.519 (8),0.632 (8),
492880,qz96,0.527 (9),0.751 (10),0.580 (9),0.497 (9),0.618 (9),
446350,mingye,0.518 (10),0.821 (8),0.554 (11),0.476 (14),0.586 (12),
462435,li6563,0.505 (11),0.715 (17),0.552 (13),0.485 (10),0.589 (11),
381342,daniel-0301,0.502 (12),0.737 (12),0.554 (12),0.476 (15),0.572 (18),
230443,visioneve,0.501 (13),0.723 (14),0.548 (14),0.480 (11),0.589 (10),
317186,KaijieHe,0.498 (14),0.707 (20),0.556 (10),0.478 (12),0.577 (16),
388442,moeno,0.493 (15),0.745 (11),0.532 (16),0.477 (13),0.586 (13),
312546,Z_Zhang,0.487 (16),0.731 (13),0.539 (15),0.471 (17),0.579 (14),
232894,ericzyh,0.482 (17),0.718 (16),0.520 (19),0.469 (18),0.567 (20),
449681,jiney,0.481 (18),0.703 (21),0.520 (17),0.472 (16),0.578 (15),
493857,goodboy,0.479 (19),0.721 (15),0.520 (18),0.446 (22),0.545 (21),
380959,nazimi,0.473 (20),0.699 (22),0.507 (22),0.465 (20),0.569 (19),
448994,einston,0.471 (21),0.711 (18),0.508 (21),0.442 (23),0.543 (22),
490863,plum1999,0.467 (22),0.695 (23),0.501 (23),0.466 (19),0.573 (17),
275773,sagalo,0.464 (23),0.709 (19),0.509 (20),0.452 (21),0.543 (23),
343565,Chenney12345,0.433 (24),0.608 (30),0.480 (24),0.421 (24),0.519 (24),
425848,Chenney,0.432 (25),0.641 (27),0.478 (25),0.378 (31),0.492 (28),
490889,grid,0.424 (26),0.679 (24),0.452 (27),0.410 (25),0.511 (25),
325952,rajatkoner08,0.415 (27),0.612 (29),0.461 (26),0.400 (28),0.500 (27),
419179,laybebe,0.415 (28),0.673 (26),0.431 (30),0.410 (26),0.503 (26),
492268,grid..,0.404 (29),0.677 (25),0.427 (31),0.402 (27),0.484 (29),
316537,rajatmodi62,0.393 (30),0.625 (28),0.450 (28),0.376 (32),0.441 (32),
382041,nanle,0.385 (31),0.607 (32),0.410 (32),0.391 (29),0.474 (30),
318797,LeeJongHun,0.380 (32),0.606 (33),0.404 (33),0.389 (30),0.447 (31),
338838,nanami17,0.374 (33),0.556 (37),0.400 (34),0.344 (39),0.423 (35),
349943,kmaag,0.373 (34),0.568 (35),0.434 (29),0.333 (40),0.406 (40),
255833,shr,0.361 (35),0.605 (34),0.379 (36),0.368 (34),0.423 (34),
455983,diaby24,0.358 (36),0.608 (31),0.374 (38),0.365 (35),0.421 (36),
259698,ayingk,0.358 (36),0.608 (31),0.374 (38),0.365 (35),0.421 (36),
469579,yitao404,0.357 (37),0.558 (36),0.375 (37),0.352 (37),0.418 (37),
338227,zyayoung,0.344 (38),0.514 (41),0.381 (35),0.365 (36),0.417 (38),
230744,skybook,0.335 (39),0.528 (38),0.373 (39),0.351 (38),0.433 (33),
483384,ychen404,0.314 (40),0.514 (42),0.306 (43),0.315 (41),0.361 (41),
242974,engint,0.312 (41),0.526 (39),0.317 (41),0.314 (42),0.360 (42),
188901,Orekishiro,0.303 (42),0.516 (40),0.322 (40),0.306 (43),0.355 (43),
188681,yfan,0.303 (42),0.516 (40),0.322 (40),0.306 (43),0.355 (43),
269398,JaehyunKang,0.290 (43),0.490 (43),0.308 (42),0.370 (33),0.410 (39),
419552,hantaozh,0.260 (44),0.454 (44),0.275 (44),0.293 (44),0.338 (44),
385044,Olivia,0.213 (45),0.367 (46),0.218 (45),0.256 (46),0.287 (46),
490953,ZackDeng,0.206 (46),0.421 (45),0.187 (46),0.230 (47),0.274 (47),
350876,Sandy,0.160 (47),0.260 (47),0.161 (47),0.169 (48),0.202 (48),
353542,xdwang-ucb-3,0.125 (48),0.203 (49),0.139 (48),0.260 (45),0.297 (45),
456202,holo,0.073 (49),0.204 (48),0.032 (50),0.094 (50),0.109 (50),
426041,sadfhklj,0.068 (50),0.106 (50),0.070 (49),0.118 (49),0.135 (49),
228378,inuyasha,0.010 (51),0.022 (51),0.008 (51),0.012 (51),0.012 (51),
195141,zxp,0.005 (52),0.006 (52),0.006 (52),0.004 (52),0.004 (52),
447557,yintang,0.000 (53),0.003 (53),0.000 (53),0.000 (53),0.000 (53),
490615,QGwoy,0.000 (54),0.000 (54),0.000 (54),0.000 (54),0.000 (54),
481291,Hansul,0.000 (54),0.000 (54),0.000 (54),0.000 (54),0.000 (54),
427646,polaris-sun,0.000 (54),0.000 (54),0.000 (54),0.000 (54),0.000 (54),
