submission_pk,User,b'Prediction score',b'Duration'
102160,sgul,0.0000 (8),0.00 (1),
102159,niksss,0.0472 (4),0.00 (1),
102150,badhandas,0.0230 (7),0.00 (1),
95881,Thousandwords,0.0742 (1),0.00 (1),
84569,NullNoneNaN,0.0447 (5),0.00 (1),
83949,tlong132,0.0484 (3),0.00 (1),
82213,odor-baseline,0.0508 (2),0.00 (1),
75629,prathmeshrmadhu,0.0274 (6),0.00 (1),
