submission_pk,User,b'Accuracy'
125548,BiBiKo,76.56 (1),
113047,USTC-IAT-United,62.42 (2),
106679,u7355608,0.63 (3),
106717,seesee,0.62 (4),
75120,sislab,0.00 (5),
