submission_pk,User,b'VPQ',b'VPQ1',b'VPQ2',b'VPQ4',b'VPQ6',b'STQ'
330971,zhangtao-whu,51.4447 (1),52.1034 (1),51.4508 (1),51.1720 (1),51.0525 (1),0.4727 (4),
416583,yknykn,49.5794 (2),50.6538 (2),49.7255 (2),49.0971 (2),48.8410 (2),0.4861 (2),
370541,francis_fan,48.9748 (3),50.0987 (3),49.1012 (3),48.4665 (3),48.2330 (3),0.4781 (3),
376321,korpusose,46.1756 (4),49.6668 (4),47.0328 (4),44.8645 (5),43.1383 (5),0.4630 (7),
432554,DaiSir,45.4461 (5),46.4611 (7),45.8027 (6),45.0229 (4),44.4979 (4),0.4876 (1),
437610,llredahhh,45.0122 (6),49.1717 (6),45.4053 (7),43.4294 (6),42.0424 (7),0.4162 (8),
330327,dlsrbgg33,45.0073 (7),49.1803 (5),45.8279 (5),43.3893 (7),41.6319 (8),0.4709 (5),
433164,yyyds,43.1793 (8),44.2688 (8),43.5765 (8),42.7896 (8),42.0822 (6),0.4665 (6),
348030,mcahny,26.7735 (9),31.7835 (10),27.9970 (9),24.6712 (9),22.6423 (10),0.3856 (9),
355397,fuwy,26.5051 (10),32.2405 (9),26.6376 (10),24.3071 (10),22.8354 (9),0.2223 (12),
328348,liuqian,23.4859 (11),25.5723 (11),24.2388 (11),22.7057 (11),21.4266 (12),0.2450 (11),
296743,miaomm,22.9136 (12),24.2306 (12),23.5209 (12),22.4444 (12),21.4583 (11),0.2503 (10),
