submission_pk,User,b'F_score',b'Precision',b'Recall'
143732,Zoumaolude,0.8788 (1),0.8890 (1),0.8737 (1),
142812,Dialga,0.8594 (2),0.8722 (2),0.8533 (2),
144088,T-L,0.8546 (3),0.8661 (3),0.8484 (3),
142571,neo,0.8520 (4),0.8631 (4),0.8461 (4),
143957,Pulsar,0.8406 (5),0.8548 (6),0.8331 (5),
100311,wantsjean,0.8394 (6),0.8567 (5),0.8310 (6),
143837,everglow,0.8260 (7),0.8322 (9),0.8239 (7),
143834,Rooki3Ray,0.8243 (8),0.8306 (11),0.8223 (8),
120574,ts2019,0.8105 (9),0.8248 (12),0.8027 (11),
144061,RiverCat_w,0.8096 (10),0.8166 (14),0.8069 (9),
142759,zhangyan123,0.8071 (11),0.8164 (15),0.8056 (10),
143933,cpic,0.8006 (12),0.8338 (7),0.7814 (12),
143743,andriyyyy,0.7966 (13),0.8315 (10),0.7760 (13),
143526,ivy,0.7903 (14),0.8325 (8),0.7652 (15),
143423,yangyangyang,0.7903 (14),0.8325 (8),0.7652 (15),
135663,DataAI,0.7820 (15),0.8127 (16),0.7682 (14),
141324,cp15,0.7704 (16),0.7989 (21),0.7546 (16),
143647,wwwssy,0.7700 (17),0.8117 (17),0.7474 (17),
96981,zhaohj,0.7661 (18),0.8180 (13),0.7392 (24),
92579,luodan,0.7637 (19),0.8014 (20),0.7419 (19),
143604,gmn,0.7636 (20),0.8072 (18),0.7406 (20),
143600,congQAQ,0.7633 (21),0.8068 (19),0.7404 (21),
94057,LBJ,0.7608 (22),0.7927 (22),0.7424 (18),
100614,hi_lin,0.7567 (23),0.7897 (23),0.7373 (25),
143929,beautylilac,0.7555 (24),0.7849 (24),0.7396 (23),
92728,charlie_huang,0.7503 (25),0.7712 (26),0.7399 (22),
138678,phybrain,0.7297 (26),0.7746 (25),0.7052 (26),
138137,scene,0.7077 (27),0.7436 (27),0.6900 (27),
138055,kui,0.7036 (28),0.7394 (28),0.6860 (28),
138101,ric,0.6825 (29),0.7384 (29),0.6517 (29),
135147,nefelibata,0.6652 (30),0.6977 (30),0.6491 (30),
142307,leonode,0.6190 (31),0.6224 (32),0.6192 (31),
140437,stephonjou,0.6038 (32),0.6086 (33),0.6042 (32),
143865,lyj,0.5851 (33),0.5846 (35),0.5886 (33),
126861,durantao,0.5699 (34),0.6677 (31),0.5229 (34),
141810,wcccc,0.4862 (35),0.5015 (36),0.4806 (35),
143911,AlbertShen,0.4804 (36),0.6000 (34),0.4273 (36),
143150,chongchongchong,0.3545 (37),0.3551 (37),0.3546 (37),
132381,AIA_ZT,0.3080 (38),0.3079 (38),0.3096 (38),
143959,exped,0.2964 (39),0.2939 (39),0.3011 (39),
143357,blue,0.2152 (40),0.2212 (40),0.2115 (40),
115397,MrJin,0.0342 (41),0.0342 (41),0.0342 (41),
114971,tlhones,0.0001 (42),0.0001 (42),0.0001 (42),
submission_pk,User,b'F_score',b'Precision',b'Recall'
144088,T-L,- (-),,,
144061,RiverCat_w,- (-),,,
143957,Pulsar,- (-),,,
143959,exped,- (-),,,
143933,cpic,- (-),,,
143929,beautylilac,- (-),,,
143911,AlbertShen,- (-),,,
143865,lyj,- (-),,,
143837,everglow,- (-),,,
143834,Rooki3Ray,- (-),,,
143743,andriyyyy,- (-),,,
143732,Zoumaolude,- (-),,,
143647,wwwssy,- (-),,,
143604,gmn,- (-),,,
143600,congQAQ,- (-),,,
143526,ivy,- (-),,,
143423,yangyangyang,- (-),,,
143357,blue,- (-),,,
143150,chongchongchong,- (-),,,
142812,Dialga,- (-),,,
142759,zhangyan123,- (-),,,
142571,neo,- (-),,,
142307,leonode,- (-),,,
141810,wcccc,- (-),,,
141324,cp15,- (-),,,
140437,stephonjou,- (-),,,
138678,phybrain,- (-),,,
138137,scene,- (-),,,
138101,ric,- (-),,,
138055,kui,- (-),,,
135663,DataAI,- (-),,,
135147,nefelibata,- (-),,,
132381,AIA_ZT,- (-),,,
126861,durantao,- (-),,,
120574,ts2019,- (-),,,
115397,MrJin,- (-),,,
114971,tlhones,- (-),,,
100614,hi_lin,- (-),,,
100311,wantsjean,- (-),,,
96981,zhaohj,- (-),,,
94057,LBJ,- (-),,,
92728,charlie_huang,- (-),,,
92579,luodan,- (-),,,
