submission_pk,User,b'Nearest Neighbor',b'Precision-at-10',b'NDCG',b'mAP'
364403,nhatquynh,0.520000 (1),0.220000 (2),0.651301 (1),0.527261 (1),
491592,nghiemkythu,0.480000 (2),0.244000 (1),0.648308 (2),0.496799 (2),
362147,thphong99,0.280000 (3),0.192000 (3),0.541132 (3),0.379614 (3),
343598,nero,0.080000 (4),0.084000 (4),0.382642 (4),0.167746 (4),
364625,minhkhoi1026,0.000000 (5),0.004000 (5),0.225732 (5),0.033672 (5),
