submission_pk,User,b'a1',b'a2',b'a3',b'abs_rel',b'sq_rel',b'rmse',b'rmse_log',b'log10',b'silog'
452635,USTC-IAT-United,0.940 (1),0.985 (2),0.996 (3),0.088 (1),0.046 (2),0.347 (2),0.115 (1),0.038 (1),9.005 (2),
447050,lyle,0.928 (2),0.990 (1),0.998 (1),0.095 (2),0.045 (1),0.341 (1),0.117 (2),0.040 (2),8.903 (1),
452088,LBJ,0.898 (3),0.982 (3),0.995 (4),0.104 (3),0.060 (3),0.391 (3),0.131 (3),0.045 (3),10.091 (3),
359838,jerry_zhu,0.875 (4),0.982 (3),0.997 (2),0.125 (6),0.071 (4),0.436 (4),0.146 (4),0.052 (4),10.667 (4),
449707,shinonomei,0.861 (5),0.975 (5),0.993 (6),0.123 (4),0.080 (5),0.450 (5),0.153 (5),0.052 (4),12.168 (9),
452726,LitterPaper0,0.851 (6),0.970 (8),0.989 (8),0.125 (6),0.085 (6),0.470 (7),0.159 (7),0.054 (5),12.610 (12),
448870,Hyq,0.851 (6),0.967 (9),0.990 (7),0.124 (5),0.089 (7),0.474 (8),0.158 (6),0.054 (5),12.374 (11),
441851,mumairkhan,0.845 (7),0.976 (4),0.996 (3),0.137 (9),0.085 (6),0.462 (6),0.158 (6),0.056 (6),11.317 (5),
443306,ammar7971,0.844 (8),0.976 (4),0.996 (3),0.138 (10),0.085 (6),0.462 (6),0.158 (6),0.056 (6),11.330 (6),
359641,kinda,0.831 (9),0.973 (6),0.993 (6),0.146 (11),0.095 (8),0.480 (9),0.165 (8),0.059 (7),11.565 (7),
310963,dx3,0.825 (10),0.963 (10),0.989 (8),0.131 (7),0.095 (8),0.507 (12),0.170 (10),0.059 (7),12.699 (13),
360781,uuht,0.822 (11),0.973 (6),0.993 (6),0.150 (13),0.100 (10),0.492 (10),0.168 (9),0.061 (9),11.752 (8),
452783,myungwoo,0.820 (12),0.972 (7),0.994 (5),0.147 (12),0.099 (9),0.496 (11),0.168 (9),0.060 (8),12.230 (10),
327328,kamir_t,0.815 (13),0.959 (12),0.986 (10),0.134 (8),0.100 (10),0.528 (14),0.176 (12),0.061 (9),13.262 (14),
298557,daicver,0.808 (14),0.962 (11),0.988 (9),0.137 (9),0.100 (10),0.517 (13),0.175 (11),0.059 (7),14.182 (15),
448299,THUZS,0.785 (15),0.953 (13),0.988 (9),0.156 (14),0.117 (11),0.555 (15),0.190 (13),0.066 (10),15.496 (17),
360559,fnahua88,0.767 (16),0.952 (14),0.986 (10),0.163 (15),0.129 (12),0.579 (16),0.193 (14),0.069 (11),14.582 (16),
364143,wallong,0.710 (17),0.927 (15),0.981 (11),0.198 (17),0.167 (13),0.624 (17),0.222 (15),0.079 (12),16.200 (19),
296250,LingdongKong,0.655 (18),0.898 (16),0.970 (12),0.190 (16),0.179 (14),0.717 (18),0.248 (16),0.088 (13),18.509 (20),
371456,Antoa,0.352 (19),0.634 (17),0.819 (14),0.428 (21),0.754 (19),1.360 (22),0.474 (18),0.172 (14),37.492 (25),
303105,xixiha,0.339 (20),0.623 (19),0.813 (16),0.467 (24),0.896 (21),1.415 (25),0.484 (20),0.176 (16),40.585 (29),
310280,xiaojianzhong,0.336 (21),0.628 (18),0.825 (13),0.405 (19),0.658 (16),1.303 (19),0.471 (17),0.173 (15),36.848 (24),
315654,susanping,0.335 (22),0.619 (20),0.815 (15),0.433 (22),0.749 (18),1.334 (21),0.479 (19),0.176 (16),38.244 (28),
342054,huynhthaihoa,0.329 (23),0.609 (21),0.808 (17),0.435 (23),0.785 (20),1.387 (23),0.485 (21),0.178 (17),37.741 (26),
352271,igrid-t,0.321 (24),0.582 (22),0.767 (18),0.406 (20),0.696 (17),1.414 (24),0.525 (23),0.192 (18),36.422 (23),
385765,Xuanlong_Yu,0.320 (25),0.569 (23),0.761 (19),0.532 (25),1.140 (22),1.555 (26),0.523 (22),0.193 (19),37.780 (27),
308641,sayednadim,0.310 (26),0.545 (24),0.718 (20),0.349 (18),0.560 (15),1.317 (20),0.538 (24),0.208 (20),26.275 (21),
318604,sunilsrivatsav,0.166 (27),0.333 (25),0.496 (22),1.093 (28),4.626 (25),3.101 (29),0.864 (26),0.319 (22),68.699 (30),
308686,del_n,0.095 (28),0.307 (26),0.670 (21),0.796 (27),1.777 (24),2.029 (27),0.583 (25),0.243 (21),15.635 (18),
444512,pakapro,0.054 (29),0.148 (27),0.281 (23),0.567 (26),1.222 (23),2.070 (28),1.000 (27),0.403 (23),35.788 (22),
