submission_pk,User,b'correct'
384904,Terrance,69.5 (1),
384501,fried-chicken,59.2 (2),
386605,MingWang,57.6 (3),
376168,lagoon,56.9 (4),
352220,league,54.8 (5),
352272,of,54.5 (6),
373218,luxu,53.8 (7),
386841,luka,53.4 (8),
381798,qinbaigao,53.1 (9),
362167,Haijunxiong,51.5 (10),
378475,Avengers222,51.3 (11),
377565,winner,50.8 (12),
383738,cartes1us,49.2 (13),
386783,phil,49.0 (14),
383765,oliverck,48.7 (15),
374208,trans,48.7 (15),
354667,zhengx,48.7 (15),
386361,pzj,48.5 (16),
386334,wlw1234,48.5 (16),
386333,EthanIsAllYouNeed,48.5 (16),
386111,QS,48.5 (16),
385619,CQUPTChW,48.5 (16),
385386,Miao,48.5 (16),
360367,Yanderbo,48.5 (16),
354452,WBH,48.5 (16),
337413,ZhangWenhao,48.5 (16),
330716,vpromise,48.5 (16),
328584,Wangguojian,48.5 (16),
352692,boye996,48.3 (17),
346507,BRL-PPY,48.3 (17),
343006,ks7585,48.3 (17),
342119,l13025816,48.3 (17),
327040,Leeeung,48.3 (17),
353880,ice_cream,48.0 (18),
377836,fame0404,46.6 (19),
384856,Li_qing,41.7 (20),
386944,zhku,40.3 (21),
340606,Zekai,40.1 (22),
383880,yang1233,39.2 (23),
343735,team,37.3 (24),
382238,yyp,26.6 (25),
383354,oases,26.3 (26),
382164,llcc,26.3 (26),
382235,hhht,25.9 (27),
382156,Novice-alchemist,25.9 (27),
383351,RSA,24.9 (28),
327366,Noah,23.3 (29),
353416,dashengge,14.0 (30),
374883,xiao_1,11.7 (31),
386286,hehezihehe,11.4 (32),
349932,ava,10.5 (33),
328719,daliyang,9.8 (34),
331153,jzk,6.5 (35),
386413,Greentor,0.2 (36),
