submission_pk,User,b'mAP weighted',b'mAP',b'Jan',b'Mar',b'Apr',b'May',b'Jun',b'Jul',b'Aug',b'Sep'
139833,longpham3105,0.317908 (1),0.3216 (1),0.3977 (1),0.3704 (1),0.3509 (1),0.2895 (1),0.3003 (1),0.2807 (1),0.3308 (1),0.2529 (1),
140777,GroundTruth,0.272344 (2),0.2748 (2),0.3673 (3),0.3308 (3),0.3136 (2),0.2577 (2),0.2595 (2),0.2480 (2),0.2930 (3),0.1286 (3),
119851,heboyong,0.263104 (3),0.2664 (3),0.3708 (2),0.3434 (2),0.3022 (3),0.2537 (3),0.2550 (3),0.2146 (3),0.2955 (2),0.0960 (4),
105642,juliojj,0.192374 (4),0.1975 (4),0.3003 (4),0.2724 (4),0.1959 (4),0.1488 (4),0.1567 (4),0.1555 (4),0.2051 (4),0.1455 (2),
