submission_pk,User,b'Total Score',b'Accuracy (top-1)[%]',b'AUROC',b'TNR at tpr95',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
342901,fcai21,0.64 (1),57.01 (5),0.85 (2),0.14 (13),0.00 (2),0.00 (2),
352083,Running,0.64 (2),56.10 (9),0.87 (1),0.62 (1),-1.00 (3),-1.00 (3),
342760,CCCathy,0.63 (3),56.36 (7),0.84 (3),0.13 (15),0.00 (2),0.00 (2),
341071,overfittinghhh,0.63 (4),57.14 (4),0.81 (6),0.15 (10),0.00 (2),0.00 (2),
346034,yvshanXie,0.63 (5),57.66 (3),0.79 (8),0.17 (6),1.00 (1),0.00 (2),
350931,VL,0.63 (6),58.57 (2),0.76 (14),0.14 (12),1.00 (1),0.00 (2),
336896,yangyang6,0.63 (7),56.23 (8),0.83 (5),0.43 (2),0.00 (2),0.00 (2),
342743,nemoe,0.62 (8),56.75 (6),0.79 (7),0.14 (14),0.00 (2),0.00 (2),
360928,Raghunath19,0.62 (9),60.13 (1),0.67 (27),0.05 (32),0.00 (2),0.00 (2),
341890,kkkkkkkk,0.61 (10),56.10 (9),0.77 (11),0.14 (11),0.00 (2),0.00 (2),
342777,wwwwww,0.60 (11),56.36 (7),0.72 (22),0.05 (31),0.00 (2),0.00 (2),
346176,linkaihao,0.60 (12),55.97 (10),0.73 (20),0.11 (17),0.00 (2),0.00 (2),
340556,hsansui,0.60 (13),55.06 (13),0.75 (15),0.17 (6),-1.00 (3),-1.00 (3),
352004,Mysterious,0.60 (14),55.58 (11),0.73 (18),0.06 (29),-1.00 (3),-1.00 (3),
339676,luni_chen,0.60 (15),55.32 (12),0.73 (17),0.13 (16),0.00 (2),0.00 (2),
349191,brandy99,0.59 (16),51.30 (22),0.84 (4),0.29 (3),-1.00 (3),-1.00 (3),
350180,jsyoon,0.59 (17),53.12 (16),0.78 (10),0.17 (5),0.00 (2),0.00 (2),
348173,asd,0.59 (18),53.12 (16),0.76 (13),0.15 (9),-1.00 (3),-1.00 (3),
335851,cuisong,0.58 (19),54.42 (14),0.70 (25),0.05 (33),1.00 (1),0.00 (2),
337800,vicii0215,0.58 (20),53.77 (15),0.71 (24),0.08 (23),0.00 (2),0.00 (2),
346736,luckykk,0.58 (21),52.99 (17),0.73 (19),0.11 (18),0.00 (2),0.00 (2),
352894,NPUyuan,0.58 (22),51.56 (21),0.77 (12),0.10 (19),-1.00 (3),-1.00 (3),
335896,lucky_dia,0.58 (23),56.75 (6),0.61 (32),0.02 (38),0.00 (2),0.00 (2),
337065,d_257233963,0.57 (24),52.08 (19),0.72 (21),0.09 (20),0.00 (2),0.00 (2),
329397,rezafuad,0.57 (25),52.86 (18),0.69 (26),0.06 (28),0.00 (2),1.00 (1),
356019,sunny088,0.56 (26),50.65 (23),0.71 (23),0.16 (7),0.00 (2),0.00 (2),
349230,kancharlavamshi,0.54 (27),50.39 (24),0.65 (29),0.07 (26),-1.00 (3),-1.00 (3),
342515,yangyang18,0.53 (28),53.12 (16),0.53 (38),0.05 (30),0.00 (2),0.00 (2),
328275,lllok,0.53 (29),51.95 (20),0.57 (36),0.04 (35),0.00 (2),0.00 (2),
341569,minuenergy,0.52 (30),44.94 (26),0.74 (16),0.08 (22),0.00 (2),0.00 (2),
350291,cjf8899,0.52 (31),42.60 (29),0.78 (9),0.18 (4),0.00 (2),0.00 (2),
341902,Tell_me_why,0.51 (32),47.27 (25),0.61 (31),0.03 (36),1.00 (1),0.00 (2),
346484,jskaggs93,0.48 (33),44.29 (28),0.61 (33),0.05 (30),-1.00 (3),-1.00 (3),
341987,xidianstu,0.48 (34),44.55 (27),0.59 (34),0.02 (37),-1.00 (3),-1.00 (3),
342210,Yang001,0.47 (35),40.52 (31),0.67 (28),0.06 (27),0.00 (2),0.00 (2),
332513,wujiekd,0.44 (36),41.04 (30),0.52 (39),0.05 (34),0.00 (2),0.00 (2),
342144,JingwenH,0.44 (37),32.73 (32),0.76 (14),0.14 (12),1.00 (1),0.00 (2),
340524,hling,0.38 (38),27.01 (33),0.73 (18),0.06 (29),-1.00 (3),-1.00 (3),
341354,xd132132,0.24 (39),10.00 (36),0.65 (30),0.16 (8),-1.00 (3),-1.00 (3),
347320,jingiju,0.22 (40),11.17 (35),0.54 (37),0.08 (21),0.00 (2),0.00 (2),
307059,mavoc_pbvs_admin,0.22 (41),10.00 (36),0.57 (35),0.07 (25),-1.00 (3),-1.00 (3),
324490,wangzhiyu918,0.20 (42),11.56 (34),0.46 (40),0.01 (39),-1.00 (3),-1.00 (3),
327361,ionut.motoi,0.15 (43),10.00 (36),0.30 (42),0.01 (40),-1.00 (3),-1.00 (3),
340525,xd132,0.12 (44),1.04 (37),0.45 (41),0.07 (24),-1.00 (3),-1.00 (3),
