submission_pk,User,b'nDCG@20 (test set)',b'MAP (test set)',b'Precision@20 (test set)',b'MRR@100 (test set)',b'MRR@100 (validation set)'
193402,uva_zoekmachines,0.4330 (1),0.3626 (1),0.1477 (1),0.4559 (1),0.3430 (1),
196551,BingChilling,0.3483 (2),0.2769 (2),0.1447 (2),0.3718 (2),0.3095 (2),
196550,Explorers,0.3289 (3),0.2669 (3),0.1352 (3),0.3391 (3),0.2751 (3),
195640,TeamCIA,0.3025 (4),0.2302 (4),0.1333 (4),0.3306 (4),0.2577 (4),
194582,team_turkey,0.2961 (5),0.2262 (5),0.1242 (6),0.3292 (5),0.2466 (5),
196588,JoeyBlankendaal,0.2844 (6),0.2156 (6),0.1308 (5),0.3152 (6),0.2411 (6),
197093,new_google,0.1230 (7),0.1030 (7),0.0333 (7),0.1407 (7),0.0722 (7),
196424,Zoekmachinerds,0.0319 (8),0.0199 (8),0.0128 (8),0.0772 (8),0.0603 (8),
196389,zoekende_machine,0.0059 (9),0.0032 (9),0.0023 (9),0.0138 (9),0.0055 (9),
