submission_pk,User,b'score'
484803,sense-dl-lab,0.6846 (1),
484821,AIPL-BME-SEU,0.6694 (2),
484845,AI4AI,0.6371 (3),
484833,baoyy2,0.6256 (4),
484355,XiaojiangPeng,0.6247 (5),
484823,USTC-qw,0.6162 (6),
484807,Voice_of_Soul,0.6140 (7),
484228,hudesheng,0.5707 (8),
483526,Beihang_Information_Security_and_Intelligent_Information_Processing_Laboratory,0.5462 (9),
482616,chenhaifeng,0.5455 (10),
483875,Triple_Six,0.5444 (11),
483231,Fudan-DML,0.5378 (12),
481255,Delta,0.5339 (13),
484814,lcqin222,0.5075 (14),
479981,MCI-SCUT,0.5003 (15),
483885,Trailblazers,0.4669 (16),
483340,nsddd,0.4055 (17),
482795,lekkoliu,0.3863 (18),
483365,suda_iai,0.3744 (19),
480130,T_MERG,0.3666 (20),
483238,macaroni231,0.3648 (21),
484715,TUA1,0.0723 (22),
479207,USTC-IAT-United,-0.4608 (23),
478909,zeroqiaoba,-0.6048 (24),
