submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1] / GPU [0]',b'Extra Data [1] / No Extra Data [0]'
145500,SabariNathan,23.06 (7),0.81 (7),1.43 (1),1.00 (1),1.00 (1),
159663,Byeongjun,23.56 (6),0.88 (2),1.43 (1),0.00 (2),0.00 (2),
159621,hyessol,23.89 (5),0.86 (6),0.30 (4),1.00 (1),0.00 (2),
155272,mkkim007,24.54 (2),0.89 (1),1.20 (2),0.00 (2),0.00 (2),
150283,gaogao,24.53 (3),0.87 (4),-1.00 (5),0.00 (2),0.00 (2),
136697,kgeorgid,24.60 (1),0.87 (5),0.80 (3),1.00 (1),0.00 (2),
157798,HaotianQian,24.49 (4),0.88 (3),-1.00 (5),-1.00 (3),-1.00 (3),
