submission_pk,User,b'AUROC (\xe2\x86\x91)',b'AUPR (\xe2\x86\x91)',b'FPR95 (\xe2\x86\x93)'
210516,dpopovic,100.0 (1),100.0 (1),0.0 (1),
207399,pavel.pleskov,99.8 (2),99.8 (2),0.4 (2),
203214,easytrojansniper,99.2 (3),98.9 (3),3.4 (4),
202818,tianjian10,98.5 (4),98.5 (4),2.8 (3),
209756,Ziang,97.8 (5),98.1 (5),14.4 (5),
203198,zwa2,97.5 (6),97.7 (6),17.6 (6),
183874,jsong2333333,96.0 (7),96.5 (7),30.4 (9),
209596,thuster,95.5 (8),95.8 (8),26.2 (7),
160640,jhayase,92.0 (9),90.3 (10),28.0 (8),
209864,amsqr,89.1 (10),90.7 (9),48.4 (10),
194502,tak,83.1 (11),86.3 (11),79.4 (12),
194258,lulu_panda,79.8 (12),80.9 (12),61.2 (11),
177361,maloyan,74.5 (13),77.2 (13),82.2 (13),
210131,bulat15g,70.9 (14),66.7 (17),100.0 (23),
169587,r_s,69.2 (15),71.7 (14),88.8 (16),
197290,nikita.shalagin,66.5 (16),68.8 (15),88.8 (16),
202562,YuliangXue,65.5 (17),64.8 (19),100.0 (23),
181202,AshLars,65.2 (18),67.6 (16),87.4 (14),
180027,goodsandservices,62.7 (19),62.2 (26),90.2 (18),
160479,MNTD_baseline,62.5 (20),63.1 (21),87.8 (15),
184426,shahdsaf,62.2 (21),62.4 (25),90.0 (17),
166533,ildefons,62.1 (22),64.4 (20),91.4 (20),
187857,fhasan8,62.0 (23),63.1 (22),91.8 (21),
172742,rokosbasilisk,61.8 (24),65.3 (18),90.2 (18),
192394,sfzhang,61.5 (25),62.5 (23),91.2 (19),
166501,ilyushin,60.6 (26),62.5 (24),92.4 (22),
