submission_pk,User,b'MAP',b'MRR'
279651,Anastasiia.Batsheva,0.93 (1),0.95 (1),
279647,LaGrunje,0.79 (2),0.94 (2),
279699,luckyman28,0.40 (3),0.46 (3),
279684,kirakuznetsova,0.33 (4),0.38 (4),
279135,alexsend57,0.24 (5),0.28 (6),
279630,bbogdanovaalina,0.24 (6),0.28 (5),
