submission_pk,User,b'mAP10',b'Top-5 accuracy'
186341,WesleyZhang,0.84110 (1),98.46180 (1),
186854,qwerty64,0.78130 (2),98.06510 (2),
186548,zongyi,0.76770 (3),95.87110 (4),
185957,kirito,0.70240 (4),96.85880 (3),
186649,rmrf,0.43510 (5),84.86080 (5),
186309,vuvko,0.37740 (6),81.25810 (6),
185539,neptune,0.34750 (7),78.65120 (7),
182881,michalk,0.31550 (8),76.00390 (8),
182903,LAClippers,0.31240 (9),75.80960 (9),
