submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
77675,kanlions,0.63 (59),0.32 (59),0.31 (59),0.00 (1),1.00 (1),1.00 (1),
77523,houxiaoxia,1.39 (19),0.72 (21),0.68 (19),0.00 (1),1.00 (1),1.00 (1),
76827,FLT,0.37 (64),0.20 (64),0.17 (62),1.00 (2),0.00 (2),1.00 (1),
74971,cvip_IQA,1.14 (45),0.59 (44),0.55 (45),0.00 (1),0.00 (2),1.00 (1),
379418,PQlet,1.34 (30),0.68 (31),0.66 (28),0.00 (1),0.00 (2),0.00 (2),
188632,raresionut,1.33 (31),0.68 (32),0.66 (30),0.00 (1),0.00 (2),0.00 (2),
171789,LittleRookie,1.33 (31),0.68 (32),0.66 (30),0.00 (1),0.00 (2),0.00 (2),
167154,test001,1.10 (49),0.57 (49),0.53 (49),0.00 (1),1.00 (1),0.00 (2),
160492,ddw995,0.78 (58),0.41 (58),0.36 (58),0.00 (1),0.00 (2),0.00 (2),
120292,ysy,1.18 (42),0.60 (42),0.58 (41),1.00 (2),1.00 (1),0.00 (2),
102454,yaoshunyu,1.19 (40),0.60 (41),0.59 (40),1.00 (2),1.00 (1),0.00 (2),
101977,shanggong,1.17 (43),0.60 (43),0.57 (43),1.00 (2),1.00 (1),0.00 (2),
94861,HenryShen24,0.40 (62),0.24 (61),0.16 (63),0.00 (1),0.00 (2),0.00 (2),
90583,cmcc,1.02 (55),0.52 (56),0.50 (53),0.00 (1),0.00 (2),0.00 (2),
85699,nanashi,1.03 (53),0.53 (54),0.50 (52),0.00 (1),0.00 (2),0.00 (2),
83955,THU_IIGROUP,1.44 (2),0.74 (2),0.70 (1),0.00 (1),0.00 (2),0.00 (2),
78879,EvaLab,1.44 (3),0.74 (3),0.70 (2),0.00 (1),0.00 (2),0.00 (2),
78815,ewonkyong,1.12 (47),0.58 (48),0.54 (47),0.00 (1),0.00 (2),0.00 (2),
78779,simple,1.38 (24),0.71 (22),0.67 (25),0.00 (1),0.00 (2),0.00 (2),
78771,walterwhite,1.03 (54),0.54 (53),0.49 (55),0.00 (1),0.00 (2),0.00 (2),
78759,gongtengxinyi,1.40 (17),0.71 (24),0.69 (7),0.00 (1),0.00 (2),0.00 (2),
78746,wth1919,1.38 (25),0.72 (20),0.66 (27),0.00 (1),0.00 (2),0.00 (2),
78744,stenphen09,1.54 (1),0.91 (1),0.63 (34),0.00 (1),0.00 (2),0.00 (2),
78611,keephours,1.43 (5),0.73 (5),0.70 (4),0.00 (1),0.00 (2),0.00 (2),
78726,iseevideo,1.36 (29),0.70 (28),0.66 (29),0.00 (1),0.00 (2),0.00 (2),
78722,hanlkj26943,1.41 (13),0.73 (10),0.68 (15),0.00 (1),0.00 (2),0.00 (2),
