submission_pk,User,b'VPQ',b'VPQ1',b'VPQ2',b'VPQ4',b'VPQ6',b'STQ'
452104,zhangtao-whu,53.7380 (1),54.7484 (1),54.0604 (1),53.2963 (1),52.8467 (1),0.5095 (6),
451580,yknykn,52.8930 (2),54.3543 (2),53.1442 (2),52.2927 (2),51.7809 (2),0.5173 (3),
445157,yyyds,50.0394 (3),51.6104 (5),50.5923 (3),49.4210 (3),48.5340 (3),0.5171 (4),
452575,SUtech,49.8604 (4),51.6154 (4),50.5523 (4),49.1890 (4),48.0851 (4),0.5214 (1),
449206,korpusose,48.5721 (5),52.7642 (3),49.7589 (5),46.9454 (5),44.8198 (6),0.4806 (8),
442053,DaiSir,47.1330 (6),48.7146 (6),47.6923 (6),46.5029 (6),45.6221 (5),0.5183 (2),
443040,AA250250,46.0230 (7),47.5580 (8),46.5865 (8),45.4176 (7),44.5300 (7),0.5093 (7),
445653,Fancy_z,45.9089 (8),47.7683 (7),46.5996 (7),45.2189 (8),44.0490 (8),0.5126 (5),
