submission_pk,User,b'Puntaje'
197525,cris714,0.8272 (1),
191199,dC,0.8232 (2),
185768,Anavarro,0.8223 (3),
191140,obelda,0.8149 (4),
197483,kshinya,0.8068 (5),
191066,fsegura,0.7942 (6),
188108,pdonoso,0.7891 (7),
191647,mgavilan,0.7880 (8),
187943,klagos,0.7844 (9),
198097,ItaloPereda,0.7634 (10),
187414,alvaro.fuentesm,0.7432 (11),
190097,Rodrigo_Torrez,0.7395 (12),
173260,mario,0.7338 (13),
198247,Aksel,0.6821 (14),
198290,jluduena,0.6644 (15),
187416,tletelier,0.6590 (16),
187975,RodrigoPerezJamett,0.5978 (17),
183891,neiraRail,0.5843 (18),
198126,FrnkHead,0.3909 (19),
181867,sborquez,0.3159 (20),
193914,GGP_666,0.2160 (21),
