submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
145209,YILA,36.47705 (1),0.96172 (1),0.11462 (5),0.03709 (3),
148637,ohLCya,36.44689 (2),0.96155 (2),0.10195 (2),0.03327 (1),
154798,oppp,36.32390 (3),0.95878 (6),0.11328 (3),0.05455 (7),
154797,zhangzhilu,36.32390 (3),0.95878 (6),0.11328 (3),0.05455 (7),
149555,Joyies_yi,36.09505 (4),0.96065 (3),0.12067 (9),0.03378 (2),
147032,OPEU,35.93021 (5),0.96046 (4),0.11508 (7),0.04264 (5),
142978,NPU_LAST,35.53287 (6),0.95954 (5),0.11460 (4),0.08834 (12),
149777,Xman,35.31697 (7),0.95634 (7),0.11478 (6),0.04338 (6),
146505,xiaozhazha,35.22693 (8),0.95462 (9),0.12778 (10),0.32696 (15),
154300,wzh123456,35.12655 (9),0.95599 (8),0.11816 (8),0.06794 (10),
141713,xiaohui,34.54947 (10),0.94917 (10),0.08982 (1),0.04241 (4),
154164,leeinsn,33.74893 (11),0.94804 (11),0.13814 (11),0.05563 (8),
137475,Null,32.25412 (12),0.93163 (12),0.14844 (12),0.05863 (9),
122712,jnjaby,30.56974 (13),0.87446 (13),0.29501 (13),0.14739 (13),
147945,DylanPeter,28.73094 (14),0.83657 (14),0.35154 (14),0.08590 (11),
149367,m-meienn,17.36783 (15),0.82421 (15),0.45018 (15),0.24388 (14),
