submission_pk,User,b'PSNR',b'muPSNR',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
296597,cui666,40.10 (1),37.33 (1),-1.00 (1),-1.00 (1),-1.00 (1),
82766,ACALJJ32,39.38 (4),37.06 (4),-1.00 (1),-1.00 (1),-1.00 (1),
82724,FangyaLi,39.19 (5),37.05 (5),-1.00 (1),-1.00 (1),-1.00 (1),
71820,willqtu,36.36 (45),33.78 (51),-1.00 (1),-1.00 (1),-1.00 (1),
56408,akafm,33.35 (50),33.38 (52),-1.00 (1),-1.00 (1),-1.00 (1),
87913,lishen,36.71 (42),36.24 (38),10.43 (31),0.00 (2),0.00 (2),
71358,jiangchengzhi,38.93 (11),36.87 (14),0.00 (2),210.88 (16),0.00 (2),
71309,lxp0_0,36.51 (44),35.40 (46),0.00 (2),186.00 (12),0.00 (2),
69205,morven,38.21 (33),36.66 (23),0.00 (2),210.88 (16),0.00 (2),
67689,cookie,39.41 (3),36.96 (8),0.00 (2),0.00 (2),0.00 (2),
66312,QianPaiChiGua,38.18 (35),36.88 (12),10.43 (31),0.00 (2),0.00 (2),
66054,ygcheng,38.89 (12),36.82 (19),10.43 (31),0.00 (2),0.00 (2),
62119,Lonson,27.69 (53),26.44 (53),2.00 (29),0.00 (2),0.00 (2),
60367,lixinpeng,39.10 (7),37.20 (2),0.00 (2),6000.00 (33),0.00 (2),
55909,Xy_Chen,31.83 (52),34.70 (49),0.52 (22),0.00 (2),0.00 (2),
72272,steventel,36.18 (46),34.47 (50),0.05 (8),118.99 (4),38827.00 (3),
71449,DylanPeter,37.99 (37),36.45 (33),0.01 (4),199.98 (15),94347.00 (4),
70430,yeeah,39.41 (2),36.96 (7),0.15 (15),156.12 (8),188992.00 (5),
62601,hoho,38.81 (14),36.88 (13),0.17 (16),156.12 (9),193216.00 (6),
71176,blindbox,35.87 (47),36.50 (31),0.13 (13),4645.39 (31),208304.00 (7),
70470,m-meienn,37.32 (39),36.62 (26),0.13 (13),4645.39 (31),208304.00 (7),
69117,hhh0214,38.47 (24),36.99 (6),0.01 (4),1295.24 (23),253314.00 (8),
59037,Emolly,38.20 (34),36.58 (28),0.51 (21),1295.24 (23),253314.00 (8),
72397,Good,38.50 (22),37.08 (3),1.27 (27),1245.78 (22),254310.00 (9),
71731,alexmahone,38.58 (18),36.15 (41),1.27 (27),1245.78 (22),254310.00 (9),
71676,kukudeteng,38.59 (17),36.37 (36),1.27 (27),1245.78 (22),254310.00 (9),
71199,jiangli,38.13 (36),36.87 (15),1.27 (27),1245.78 (22),254310.00 (9),
71166,xiaoliu,38.83 (13),36.72 (21),1.27 (27),1245.78 (22),254310.00 (9),
70389,loveletter,38.83 (13),36.72 (21),1.27 (27),1245.78 (22),254310.00 (9),
70117,Dawns,38.83 (13),36.72 (21),1.27 (27),1245.78 (22),254310.00 (9),
69089,richlaji,38.99 (10),35.99 (43),1.27 (27),1245.78 (22),254310.00 (9),
60541,tuvovan,38.44 (26),36.02 (42),1.27 (27),1245.78 (22),254310.00 (9),
58602,vovantu,39.06 (8),36.35 (37),1.27 (27),1245.78 (22),254310.00 (9),
57320,kcml2,39.14 (6),36.16 (40),1.27 (27),1245.78 (22),254310.00 (9),
48227,kaijie,39.01 (9),36.82 (18),1.27 (27),1245.78 (22),254310.00 (9),
83951,xiaokaoji,38.54 (19),36.89 (11),0.15 (14),146.28 (6),377987.00 (10),
83036,cherry,38.42 (27),36.79 (20),0.15 (14),146.28 (6),377987.00 (10),
69247,dq,38.34 (30),36.90 (10),0.00 (2),153.12 (7),377987.00 (10),
71687,liuzhen,38.93 (11),36.87 (14),0.25 (17),790.48 (20),401827.00 (11),
71345,agan,37.72 (38),36.47 (32),0.00 (3),501.21 (18),609499.00 (12),
54852,baolong,36.94 (40),35.83 (45),0.04 (5),160.24 (10),729650.00 (13),
47310,cvfly,34.49 (48),35.01 (48),0.73 (26),1860.50 (25),828819.00 (14),
55989,bitadder,38.35 (28),36.56 (29),3.40 (30),4846.37 (32),858851.00 (15),
69883,CUC,38.46 (25),36.62 (27),0.64 (23),2445.12 (27),1131515.00 (16),
69086,gaogao,25.71 (54),16.90 (54),0.72 (25),800.00 (21),1150000.00 (17),
72379,Juan,38.50 (21),36.91 (9),0.69 (24),1769.85 (24),1222035.00 (18),
43986,EPerezPellitero,38.34 (29),36.86 (17),0.32 (20),2916.92 (29),1441283.00 (19),
72119,XXXteam,38.49 (23),36.86 (16),0.00 (3),2074.97 (26),1466211.00 (20),
72084,Xyzteam,38.49 (23),36.86 (16),0.00 (3),2074.97 (26),1466211.00 (20),
72007,xyyteam,38.49 (23),36.86 (16),0.00 (3),2074.97 (26),1466211.00 (20),
70782,XuZiyao,38.49 (23),36.86 (16),0.00 (3),2074.97 (26),1466211.00 (20),
68922,buzzli,38.29 (31),36.56 (30),0.06 (10),232.54 (17),1548970.00 (21),
70363,songguitar,38.65 (15),36.62 (25),0.09 (11),190.62 (13),1551747.00 (22),
66647,dth914,38.51 (20),36.17 (39),0.29 (19),192.88 (14),1628265.00 (23),
68987,xixi,36.55 (43),36.45 (35),0.10 (12),168.10 (11),1801054.00 (24),
71316,NBCS,38.28 (32),36.66 (24),1.83 (28),2995.81 (30),5262453.00 (25),
61182,hannah1258,34.41 (49),35.15 (47),0.04 (6),120.21 (5),10721381.00 (26),
71552,zhanzhan,32.43 (51),35.84 (44),0.05 (7),73.12 (3),20483395.00 (27),
58865,hpalwforever,38.61 (16),36.70 (22),0.05 (9),588.40 (19),23349747.00 (28),
71993,leochangliu,36.73 (41),36.45 (34),0.25 (18),2499.98 (28),233808771.00 (29),
