submission_pk,User,b'psnr_x4',b'ssim_x4',b'psrn_x2_mr2hr',b'ssim_x2_mr2hr'
56043,NPU_LAST,30.49 (1),0.9249 (1),19.20 (5),0.6541 (5),
55759,Sunder_ali,30.46 (2),0.8938 (3),21.16 (2),0.7645 (2),
55849,kiwi,29.93 (3),0.9154 (2),22.07 (1),0.7815 (1),
53077,chenjingyi,28.39 (4),0.8386 (4),20.10 (4),0.7330 (4),
53047,sorashiro,14.24 (5),0.3680 (5),20.23 (3),0.7501 (3),
