submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
346667,ferry,23.9139 (1),25.4632 (1),0.7512 (1),0.7655 (1),
320452,Wedream,23.5052 (2),25.0682 (2),0.7300 (2),0.7475 (2),
315130,yeap,22.1256 (3),23.8869 (5),0.6389 (3),0.6781 (3),
355593,csbhr,22.1158 (4),23.9294 (3),0.6296 (5),0.6659 (5),
370745,kkkls,22.1071 (5),23.9182 (4),0.6307 (4),0.6675 (4),
360460,HuanZheng,22.0060 (6),23.8269 (6),0.6202 (8),0.6597 (7),
371959,BigTree,21.9972 (7),23.8180 (7),0.6255 (7),0.6618 (6),
356818,BingXi,21.9154 (8),23.7335 (9),0.6178 (9),0.6571 (8),
356444,ycc6,21.9088 (9),23.7523 (8),0.6116 (11),0.6522 (10),
358392,CMM,21.8380 (10),23.6565 (10),0.6096 (12),0.6475 (11),
341041,TZ,21.8358 (11),23.3865 (17),0.6287 (6),0.6443 (12),
358796,Solor,21.7470 (12),23.5947 (11),0.5983 (15),0.6404 (14),
344905,Bob072,21.7186 (13),23.5346 (14),0.6149 (10),0.6525 (9),
339882,pzl_kimmm,21.7142 (14),23.5385 (13),0.6040 (13),0.6414 (13),
339869,Breeze.Zero,21.6938 (15),23.5476 (12),0.5936 (16),0.6380 (16),
354434,HaoqiangYang,21.6596 (16),23.4878 (15),0.6013 (14),0.6391 (15),
360761,nathan,21.5397 (17),23.4028 (16),0.5806 (17),0.6277 (17),
345088,maojin,21.0955 (18),23.1067 (18),0.5559 (18),0.6124 (18),
