submission_pk,User,b'Classification',b'Detection'
406431,glmanhtu,41.7254 (2),51.83 (1),
406424,rturnbull,42.1575 (1),51.42 (2),
406204,golby,38.5962 (3),48.82 (3),
399386,petruscuniculus,31.0698 (4),44.09 (4),
405857,sojungkim,26.3282 (5),39.25 (5),
405755,jmahn,26.3282 (5),39.25 (5),
397207,CarsonBrown,25.5104 (6),38.42 (6),
396865,martinleipert,18.8995 (7),28.81 (7),
