submission_pk,User,b'< Rank >',b'Spearman r',b'Pearson r',b'RMSE',b'MAE',b'Disk Footprint (Bytes)',b'Model Params'
167248,IST-Unbabel,3.04 (2),0.3846 (1),0.3827 (1),0.6888 (2),0.5284 (2),2260735089.0 (5),583891109.0 (8),
167461,joanne.wjy,1.92 (1),0.3478 (2),0.3535 (3),0.6729 (1),0.5216 (1),2191440.0 (1),560981507.0 (4),
166449,Abulice,3.04 (2),0.3409 (3),0.3542 (2),0.7255 (6),0.5547 (4),540868112.0 (2),222353517.0 (2),
168057,papago,5.28 (4),0.3266 (4),0.3378 (4),2.2529 (9),1.9574 (9),2243044839.0 (4),560713447.0 (3),
165885,hui,5.76 (5),0.3176 (5),0.3086 (5),0.7228 (5),0.5591 (6),2277517335.0 (6),596639744.0 (9),
167946,lp_sunny,6.08 (6),0.2896 (6),0.2864 (7),0.7176 (4),0.5561 (5),2356736392.0 (9),580792183.0 (7),
167144,NKUA-Welocalize,7.20 (8),0.2762 (7),0.2811 (8),0.7548 (8),0.5790 (8),2307068585.0 (8),576725041.0 (6),
167585,ahmetgunduz,3.84 (3),0.2744 (8),0.2895 (6),0.7036 (3),0.5473 (3),745679835.0 (3),12345.0 (1),
166635,OrganizersBaselines,7.04 (7),0.2716 (9),0.2729 (9),0.7474 (7),0.5762 (7),2280011066.0 (7),564527011.0 (5),
