submission_pk,User,b'correct'
360236,Z-Y,0.610779 (1),
361142,ryanhe312,0.591303 (2),
361043,tzhhhh123,0.569669 (3),
361166,shan666,0.561856 (4),
360896,stephenx24,0.561030 (5),
361079,HIT_HH,0.550230 (6),
358853,shubo-nlpr,0.539232 (7),
360791,KKKKKK,0.537569 (8),
360656,QJY0310,0.537569 (8),
361192,Carl_Huang,0.535703 (9),
360425,davidyang,0.530667 (10),
361001,daitaoxing,0.528969 (11),
361158,SIA_Ryu,0.521894 (12),
356653,xjtuwh,0.508809 (13),
358533,Silverfall,0.505269 (14),
358128,Peace,0.494705 (15),
356726,Zhencheng_Yu,0.448356 (16),
358361,zhangyuan.gump,0.414104 (17),
361176,Feioveuler,0.389661 (18),
360094,Sykai,0.386760 (19),
359368,Reresearcher,0.338354 (20),
360775,SSY,0.327614 (21),
359903,Lv4Tong,0.318492 (22),
360777,nwpugx,0.279946 (23),
360825,gxx,0.279373 (24),
359980,liyifan,0.108139 (25),
355404,Anti_UAV,0.079914 (26),
355419,qhl,0.079914 (26),
311570,aoao_1996,0.056400 (27),
359958,WTP111,NaN (28),
