submission_pk,User,b'Average',b'HS-Brexit dataset',b'ArMIS dataset',b'ConvAbuse dataset',b'MD-Agreement dataset'
362556,nasheedyasin,3.09 (1),2.71 (2),8.91 (1),0.22 (1),0.51 (1),
342427,guneetsk99,5.38 (2),1.73 (1),8.91 (1),3.48 (2),7.38 (2),
submission_pk,User,b'Average',b'HS-Brexit dataset',b'ArMIS dataset',b'ConvAbuse dataset',b'MD-Agreement dataset'
362556,nasheedyasin,0.80 (1),0.89 (1),0.57 (1),0.92 (1),0.81 (1),
342427,guneetsk99,0.74 (2),0.89 (2),0.57 (1),0.82 (2),0.67 (2),
