submission_pk,User,b'Final Score',b'LPIPS',b'FVD',b'L2',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
351887,wangzhiyu918,0.14 (1),0.39 (1),0.03 (1),0.01 (1),0.00 (2),0.00 (2),
350399,ngthien,0.26 (2),0.55 (3),0.19 (2),0.03 (4),0.00 (2),0.00 (2),
359586,jsyoon,0.31 (3),0.55 (2),0.36 (3),0.02 (2),0.00 (2),0.00 (2),
350741,hanhai,0.44 (4),0.58 (4),0.73 (4),0.02 (3),0.00 (2),0.00 (2),
326715,mavoc_pbvs_admin,0.58 (5),0.69 (5),0.99 (5),0.06 (5),1.00 (1),1.00 (1),
