submission_pk,User,b'HOTA',b'DetA',b'AssA',b'MOTA',b'IDF1'
169324,mfv,67.536902 (1),81.974485 (2),55.775719 (1),90.356404 (6),69.185924 (1),
176094,C-BIoU,65.001069 (2),81.598418 (4),51.909623 (2),92.134967 (2),68.738522 (2),
168448,bphengyan,64.584515 (3),83.757089 (1),49.908850 (3),94.179122 (1),68.574973 (3),
176403,HanGuangXin,62.373225 (4),81.179970 (5),48.034447 (4),90.142340 (7),63.011612 (4),
168672,liuzhonglin,55.559424 (5),81.686765 (3),37.871264 (5),90.544532 (5),54.758538 (5),
160215,wangshengwei,54.576257 (6),80.172400 (7),37.240550 (6),89.357670 (8),53.868270 (6),
173033,frdc_test,54.438421 (7),80.109442 (8),37.082848 (7),89.356287 (9),53.616337 (8),
172557,xiaochangcheng,52.573008 (8),80.823679 (6),34.280085 (9),91.318136 (3),53.445189 (9),
169171,Grace_Lu,51.479865 (9),76.831998 (10),34.719143 (8),91.042861 (4),53.363949 (10),
167043,lisi12138,50.081193 (10),75.395501 (11),33.530118 (10),88.509022 (11),51.170784 (11),
161186,Percy,47.016470 (11),70.819804 (12),31.316355 (11),88.797092 (10),53.753973 (7),
149888,peizesun,41.832869 (12),78.080086 (9),22.599878 (12),86.824177 (12),35.732867 (13),
173804,cancan,36.479512 (13),60.170472 (13),22.315846 (13),71.693422 (13),41.226276 (12),
