submission_pk,User,b'IoU (\xe2\x86\x91)'
201833,tianjian10,28.68 (1),
200256,nikita.benkovich,15.57 (2),
172385,easytrojansniper,12.27 (3),
197200,mooncaptain,12.04 (4),
157956,MNTD_baseline,5.52 (5),
