submission_pk,User,b'RMSE_MAPPED',b'RMSE'
149030,amsqr,0.430 (1),0.449 (2),
148906,pblan,0.435 (2),0.442 (1),
149451,fhewett,0.446 (3),0.462 (3),
145597,manschuetz,0.449 (4),0.466 (4),
149140,bogdankostic,0.454 (5),0.484 (5),
149654,jvladika,0.457 (6),0.489 (7),
149648,sjfxm,0.458 (7),0.494 (8),
148944,jakel101,0.473 (8),0.486 (6),
149679,davidarps,0.502 (9),0.545 (9),
147631,Andreas_Blombach,0.516 (10),0.586 (12),
147688,WiebkeP,0.534 (11),0.602 (13),
148143,rstodden,0.539 (12),0.584 (11),
146616,hamster,0.553 (13),0.583 (10),
145844,LGirrbach,10.000 (14),10.000 (14),
