submission_pk,User,b'Prediction score',b'Duration'
93056,Lio,0.0000 (1),0.00 (1),
92069,chinatelecom_cv,0.0000 (1),0.00 (2),
92582,winterfell,0.0000 (1),0.00 (3),
93065,wany,0.0000 (1),0.00 (4),
93110,Taeko,0.0000 (1),0.00 (5),
93170,jiachenlei,0.0000 (1),0.00 (6),
92147,felixrosbeerg,0.0000 (1),0.00 (7),
93060,JoyFang,0.0000 (1),0.00 (8),
