submission_pk,User,b'mIoU',b'accuracy',b'Ground',b'High Vegetation',b'Buildings',b'Walls',b'Bridge',b'Parking',b'Rail',b'traffic Roads',b'Street Furniture',b'Cars',b'Footpath',b'Bikes',b'Water'
198697,keoapi,0.7540 (1),0.9550 (1),0.9010 (1),0.9910 (1),0.9800 (1),0.9240 (1),0.7200 (2),0.6080 (9),0.9060 (1),0.6740 (1),0.6840 (1),0.9190 (1),0.5440 (1),0.0850 (16),0.8670 (1),
198760,musangking,0.7310 (2),0.9460 (3),0.8740 (3),0.9890 (3),0.9620 (6),0.8210 (2),0.7080 (3),0.6700 (3),0.6170 (2),0.6740 (1),0.5780 (9),0.8640 (7),0.4910 (4),0.4200 (2),0.8410 (7),
187049,yanxugg,0.7200 (3),0.9470 (2),0.8760 (2),0.9890 (3),0.9700 (2),0.7650 (7),0.7710 (1),0.6500 (4),0.5090 (11),0.6730 (2),0.5860 (5),0.8760 (2),0.5140 (2),0.3220 (5),0.8620 (2),
198291,whd001,0.6910 (4),0.9420 (5),0.8740 (3),0.9890 (3),0.9540 (10),0.7500 (10),0.5630 (17),0.6430 (6),0.5250 (9),0.6530 (6),0.5680 (12),0.8500 (10),0.4690 (6),0.2900 (6),0.8580 (3),
197715,casia-3dvc,0.6890 (5),0.9320 (9),0.8340 (21),0.9470 (12),0.9560 (8),0.7540 (9),0.3800 (28),0.6470 (5),0.5960 (3),0.6660 (3),0.5840 (6),0.8730 (3),0.4800 (5),0.3840 (4),0.8540 (4),
194140,UCAS_IIE_ZYC,0.6870 (6),0.9320 (9),0.8340 (21),0.9460 (13),0.9550 (9),0.7440 (11),0.3810 (27),0.6810 (2),0.5670 (6),0.6650 (4),0.5970 (2),0.8670 (4),0.4490 (12),0.3930 (3),0.8480 (5),
192228,Faiz,0.6850 (7),0.9430 (4),0.8730 (4),0.9900 (2),0.9650 (4),0.7590 (8),0.6690 (5),0.5940 (15),0.4300 (18),0.6660 (3),0.5770 (10),0.8550 (9),0.5060 (3),0.2300 (9),0.7880 (18),
366053,pengweiyue,0.6680 (8),0.9320 (9),0.8670 (5),0.9860 (4),0.9530 (11),0.6310 (23),0.5540 (18),0.5860 (17),0.4500 (17),0.6040 (18),0.5050 (13),0.8390 (12),0.4360 (17),0.4330 (1),0.8370 (9),
188066,timeAssassin1,0.6680 (8),0.9290 (12),0.8220 (25),0.9460 (13),0.9540 (10),0.7360 (13),0.3770 (29),0.6000 (11),0.5950 (4),0.6580 (5),0.5910 (4),0.8650 (6),0.4460 (13),0.2600 (8),0.8300 (11),
250667,flysnow_hxb_ntu,0.6630 (9),0.9430 (4),0.8730 (4),0.9900 (2),0.9660 (3),0.7840 (3),0.5920 (10),0.5720 (20),0.5070 (12),0.6370 (11),0.5830 (7),0.8640 (7),0.4800 (5),0.0000 (21),0.7710 (24),
185778,QHB_CASIA,0.6580 (10),0.9310 (10),0.8320 (22),0.9460 (13),0.9530 (11),0.7390 (12),0.3390 (33),0.6890 (1),0.5920 (5),0.6480 (7),0.5940 (3),0.8650 (6),0.4620 (7),0.0600 (17),0.8370 (9),
184551,dachr8,0.6540 (11),0.9390 (6),0.8560 (10),0.9890 (3),0.9640 (5),0.7760 (6),0.5830 (12),0.5480 (23),0.5310 (7),0.6450 (8),0.5800 (8),0.8640 (7),0.3840 (30),0.0000 (21),0.7780 (22),
