submission_pk,User,b'ARI'
253487,aayugay99,0.3677 (1),
251329,kuikek,0.2726 (2),
256554,ooodnakov,0.2633 (3),
253947,lina.bashaeva,0.2403 (4),
253558,EvgeniyGarsiya,0.2403 (4),
255024,lkuz_mik,0.2235 (5),
253717,Evgurov,0.2203 (6),
253794,Arkadiy_Vladimirov,0.2165 (7),
251150,azelentsov,0.2145 (8),
255856,_twinkle_,0.2093 (9),
253647,alexsend57,0.2055 (10),
252051,chomsky,0.2022 (11),
256435,Loyso,0.1971 (12),
254766,Ryzagi,0.1960 (13),
253310,art-bash,0.1900 (14),
254091,LA,0.1896 (15),
257373,FD,0.1840 (16),
257322,A.Demidova,0.1816 (17),
254033,jenchik1,0.1764 (18),
247883,kirakuznetsova,0.1764 (18),
228748,lilaspourpre,0.1764 (18),
253876,maryushsoroka,0.1635 (19),
253761,happy_hippo,0.1617 (20),
255328,st_alex2902,0.1597 (21),
253915,Anastasiia.Batsheva,0.1466 (22),
252789,Gt854,0.1462 (23),
253268,Nick,0.1440 (24),
252055,Vir_Ven,0.1332 (25),
253593,niksukhorukov,0.1323 (26),
252406,a.makhin,0.1268 (27),
253498,libraa,0.1257 (28),
255330,GlebMazanov,0.0776 (29),
256150,Veronica_Ivanova,0.0745 (30),
253801,abdulazizsamra,0.0732 (31),
253922,Anastasia,0.0722 (32),
253788,vadimpyx,0.0678 (33),
253975,artgoldman,0.0611 (34),
254740,Egor,0.0585 (35),
254061,Emalk,0.0585 (35),
252554,JuliaKudryavtseva,0.0389 (36),
253707,pashche,0.0134 (37),
