submission_pk,User,b'< Rank >',b'MCC',b'F1 BAD',b'F1 OK',b'Disk Footprint (Bytes)',b'Model Params'
166889,IST-Unbabel,1.60 (1),0.3411 (1),0.4664 (1),0.8102 (1),2260744555.0 (2),565139485.0 (3),
168327,JeonghyeokPark,1.60 (1),0.3167 (2),0.4219 (2),0.7865 (2),2241394304.0 (1),560301035.0 (1),
167684,OrganizersBaselines,2.80 (2),0.2345 (3),0.3564 (3),0.7650 (3),2280011066.0 (3),564527011.0 (2),
