submission_pk,User,b'Macro F1'
299040,hpl,0.6238 (1),
309697,kappako,0.6223 (2),
295254,Fadi,0.6221 (3),
291591,stce,0.5828 (4),
285469,PALI,0.5822 (5),
276973,corner,0.5703 (6),
307355,wxd,0.5694 (7),
303333,prabhakar267,0.5643 (8),
275478,akshaylive,0.5556 (9),
301728,just_one,0.5486 (10),
310490,christiechris,0.5422 (11),
309608,Nammas,0.5347 (12),
290757,Abdelkader,0.5329 (13),
280735,tharindu,0.5312 (14),
298553,walaa_shnigat,0.5233 (15),
297267,kdchernyshev,0.5201 (16),
309888,yesyes,0.5179 (17),
301905,JoseAGD,0.5164 (18),
309341,just_machine,0.5033 (19),
307829,Adam-H,0.4932 (20),
291573,hahaheihei,0.4843 (21),
309378,jagol,0.4749 (22),
298523,wfeely,0.4710 (23),
197000,fantasticmid,0.4657 (24),
309039,sr26,0.4469 (25),
306582,Akriel,0.4431 (26),
256640,Chride,0.4422 (27),
309142,aakashgoel12,0.4394 (28),
301561,Marufa_kamal,0.4217 (29),
302967,amw2,0.4121 (30),
303424,roaa99mamoun,0.4068 (31),
248777,MstPhoenix,0.4053 (32),
308708,sandeeppandey456,0.4032 (33),
288889,Will_PKU,0.3825 (34),
298863,Walid23,0.3738 (35),
285827,agarnitin86,0.3656 (36),
309900,SreeIN,0.3499 (37),
281252,lhk15,0.3470 (38),
322996,debashish.roy,0.3433 (39),
265025,adi1712,0.3433 (40),
285243,devorein,0.3410 (41),
309372,ariannamuti,0.3323 (42),
264486,AmitDasRup,0.3214 (43),
310604,Olha_Kaminska,0.3098 (44),
211180,isegura,0.3050 (45),
311185,Padma,0.3029 (46),
202481,gauravsingh,0.2981 (47),
300517,p.nakwijit,0.2647 (48),
284299,GQLupiB,0.2246 (49),
307945,PanwarJayant,0.2184 (50),
297644,marleneayala,0.2139 (51),
310505,marzinouri,0.2118 (52),
305089,advaitha,0.1952 (53),
491386,Mohammed_TALEB,0.0507 (54),
