submission_pk,User,b'F1\xf0\x9d\x91\x9d\xf0\x9d\x91\x9f\xf0\x9d\x91\x92\xf0\x9d\x91\x9a\xf0\x9d\x91\x96\xf0\x9d\x91\xa0\xf0\x9d\x91\x92'
341611,iammanavk,- (-),
325758,yanghuabin,- (-),
313639,owlmx,- (-),
261224,NikhilDhupadal7,- (-),
247537,Shashank_H,- (-),
submission_pk,User,b'F1\xf0\x9d\x91\xa0\xf0\x9d\x91\xa1\xf0\x9d\x91\x8e\xf0\x9d\x91\x9b\xf0\x9d\x91\x90\xf0\x9d\x91\x92'
313639,owlmx,0.62 (1),
325758,yanghuabin,0.58 (2),
341611,iammanavk,0.46 (3),
261224,NikhilDhupadal7,0.43 (4),
247537,Shashank_H,0.43 (4),
