submission_pk,User,"b'F1(P,N)-macro'","b'F1(P,N,0)-macro'"
493896,V_AI,63.98 (1),72.13 (1),
407794,Yuliana_Solomatina,62.16 (2),70.94 (2),
444407,antongolubev,62.09 (3),70.39 (3),
476852,McJohn974,61.65 (4),68.80 (6),
465846,aloncohen,60.50 (5),69.68 (4),
430464,mitrokosta,59.98 (6),69.00 (5),
407953,danila6231,57.87 (7),67.45 (7),
392921,D1MK4realllll,56.29 (8),65.62 (9),
447905,sameertantry,56.18 (9),65.65 (8),
373472,ild,53.20 (10),63.78 (10),
448947,Fals3ness,51.94 (11),62.97 (11),
447466,sergell,48.70 (12),60.57 (12),
451337,sevashasla,45.50 (13),57.08 (13),
381541,theploy2212,41.53 (14),54.40 (15),
364095,baseline_model,40.92 (15),56.71 (14),
448786,sectumsempra,39.80 (16),52.03 (16),
449829,jegorus,39.75 (17),45.48 (19),
443494,makarks,36.45 (18),47.97 (17),
392524,alexdremov,30.91 (19),46.81 (18),
450969,jetmind,27.73 (20),43.75 (20),
405926,privet_liz,23.88 (21),37.70 (21),
