submission_pk,User,b'Target Recall at top-K',b'Target AUC',b'Target AP',"b""Sentence-level Pearson's""",b'Sentence-level Spearman'
167068,IST-Unbabel,0.5611 (1),0.7249 (1),0.6591 (1),0.5479 (1),0.5107 (1),
168728,Abulice,0.5356 (2),0.7094 (2),0.6317 (2),0.3135 (3),0.3234 (3),
166109,plkumjorn,0.4173 (3),0.5366 (3),0.5003 (3),0.3421 (2),0.3515 (2),
166170,fblain,0.3630 (4),0.4930 (4),0.4526 (4),0.0111 (4),0.0159 (4),
