submission_pk,User,b'Prediction score',b'Duration'
80864,dtran,0.3333 (1),3.01 (1),
508,guyon,0.3333 (1),0.00 (2),
486482,Kitte,0.3333 (1),0.00 (3),
444725,pakapro,-1.0000 (2),0.00 (3),
354418,acletournel,0.3333 (1),0.00 (3),
309855,pavao,0.3333 (1),0.00 (3),
235584,wslucy,-1.0000 (2),0.00 (3),
235382,tanlijun18,-1.0000 (2),0.00 (3),
151326,bbearce,0.3333 (1),0.00 (3),
